keyword,ISO_YEAR,ISO_WEEK,trend_value
bol u grlu,2013,1,59.0
bol u grlu,2013,2,0.0
bol u grlu,2013,3,39.0
bol u grlu,2013,4,0.0
bol u grlu,2013,5,62.0
bol u grlu,2013,6,37.0
bol u grlu,2013,7,37.0
bol u grlu,2013,8,70.0
bol u grlu,2013,9,46.0
bol u grlu,2013,10,41.0
bol u grlu,2013,11,0.0
bol u grlu,2013,12,0.0
bol u grlu,2013,13,43.0
bol u grlu,2013,14,47.0
bol u grlu,2013,15,0.0
bol u grlu,2013,16,0.0
bol u grlu,2013,17,45.0
bol u grlu,2013,18,41.0
bol u grlu,2013,19,0.0
bol u grlu,2013,20,42.0
bol u grlu,2013,21,0.0
bol u grlu,2013,22,45.0
bol u grlu,2013,23,46.0
bol u grlu,2013,24,0.0
bol u grlu,2013,25,0.0
bol u grlu,2013,26,0.0
bol u grlu,2013,27,0.0
bol u grlu,2013,28,0.0
bol u grlu,2013,29,67.0
bol u grlu,2013,30,0.0
bol u grlu,2013,31,0.0
bol u grlu,2013,32,0.0
bol u grlu,2013,33,0.0
bol u grlu,2013,34,0.0
bol u grlu,2013,35,50.0
bol u grlu,2013,36,0.0
bol u grlu,2013,37,46.0
bol u grlu,2013,38,38.0
bol u grlu,2013,39,0.0
bol u grlu,2013,40,63.0
bol u grlu,2013,41,57.0
bol u grlu,2013,42,44.0
bol u grlu,2013,43,44.0
bol u grlu,2013,44,39.0
bol u grlu,2013,45,37.0
bol u grlu,2013,46,51.0
bol u grlu,2013,47,77.0
bol u grlu,2013,48,0.0
bol u grlu,2013,49,54.0
bol u grlu,2013,50,47.0
bol u grlu,2013,51,55.0
bol u grlu,2013,52,37.0
bol u grlu,2014,1,48.0
bol u grlu,2014,2,51.0
bol u grlu,2014,3,53.0
bol u grlu,2014,4,30.0
bol u grlu,2014,5,49.0
bol u grlu,2014,6,50.0
bol u grlu,2014,7,36.0
bol u grlu,2014,8,60.0
bol u grlu,2014,9,76.0
bol u grlu,2014,10,48.0
bol u grlu,2014,11,52.0
bol u grlu,2014,12,48.0
bol u grlu,2014,13,73.0
bol u grlu,2014,14,52.0
bol u grlu,2014,15,45.0
bol u grlu,2014,16,60.0
bol u grlu,2014,17,48.0
bol u grlu,2014,18,0.0
bol u grlu,2014,19,43.0
bol u grlu,2014,20,66.0
bol u grlu,2014,21,64.0
bol u grlu,2014,22,45.0
bol u grlu,2014,23,63.0
bol u grlu,2014,24,51.0
bol u grlu,2014,25,41.0
bol u grlu,2014,26,58.0
bol u grlu,2014,27,0.0
bol u grlu,2014,28,40.0
bol u grlu,2014,29,58.0
bol u grlu,2014,30,0.0
bol u grlu,2014,31,40.0
bol u grlu,2014,32,55.0
bol u grlu,2014,33,53.0
bol u grlu,2014,34,46.0
bol u grlu,2014,35,68.0
bol u grlu,2014,36,94.0
bol u grlu,2014,37,60.0
bol u grlu,2014,38,69.0
bol u grlu,2014,39,36.0
bol u grlu,2014,40,62.0
bol u grlu,2014,41,84.0
bol u grlu,2014,42,50.0
bol u grlu,2014,43,45.0
bol u grlu,2014,44,75.0
bol u grlu,2014,45,71.0
bol u grlu,2014,46,52.0
bol u grlu,2014,47,54.0
bol u grlu,2014,48,88.0
bol u grlu,2014,49,50.0
bol u grlu,2014,50,69.0
bol u grlu,2014,51,57.0
bol u grlu,2014,52,85.0
bol u grlu,2015,1,84.0
bol u grlu,2015,2,79.0
bol u grlu,2015,3,65.0
bol u grlu,2015,4,69.0
bol u grlu,2015,5,53.0
bol u grlu,2015,6,65.0
bol u grlu,2015,7,80.0
bol u grlu,2015,8,67.0
bol u grlu,2015,9,71.0
bol u grlu,2015,10,89.0
bol u grlu,2015,11,85.0
bol u grlu,2015,12,73.0
bol u grlu,2015,13,99.0
bol u grlu,2015,14,67.0
bol u grlu,2015,15,77.0
bol u grlu,2015,16,58.0
bol u grlu,2015,17,64.0
bol u grlu,2015,18,59.0
bol u grlu,2015,19,47.0
bol u grlu,2015,20,63.0
bol u grlu,2015,21,45.0
bol u grlu,2015,22,93.0
bol u grlu,2015,23,91.0
bol u grlu,2015,24,63.0
bol u grlu,2015,25,48.0
bol u grlu,2015,26,50.0
bol u grlu,2015,27,39.0
bol u grlu,2015,28,61.0
bol u grlu,2015,29,44.0
bol u grlu,2015,30,40.0
bol u grlu,2015,31,72.0
bol u grlu,2015,32,85.0
bol u grlu,2015,33,0.0
bol u grlu,2015,34,72.0
bol u grlu,2015,35,58.0
bol u grlu,2015,36,51.0
bol u grlu,2015,37,0.0
bol u grlu,2015,38,47.0
bol u grlu,2015,39,69.0
bol u grlu,2015,40,82.0
bol u grlu,2015,41,60.0
bol u grlu,2015,42,69.0
bol u grlu,2015,43,70.0
bol u grlu,2015,44,75.0
bol u grlu,2015,45,66.0
bol u grlu,2015,46,42.0
bol u grlu,2015,47,82.0
bol u grlu,2015,48,73.0
bol u grlu,2015,49,88.0
bol u grlu,2015,50,76.0
bol u grlu,2015,51,90.0
bol u grlu,2015,52,100.0
bol u grlu,2015,53,69.5581227436823
bol u grlu,2016,1,83.94945848375451
bol u grlu,2016,2,61.163176895306854
bol u grlu,2016,3,65.96028880866426
bol u grlu,2016,4,88.74657039711191
bol u grlu,2016,5,56.36606498194946
bol u grlu,2016,6,83.94945848375451
bol u grlu,2016,7,100.73935018050541
bol u grlu,2016,8,85.14873646209386
bol u grlu,2016,9,97.14151624548737
bol u grlu,2016,10,86.3480144404332
bol u grlu,2016,11,97.14151624548737
bol u grlu,2016,12,95.94223826714801
bol u grlu,2016,13,57.5653429602888
bol u grlu,2016,14,0.0
bol u grlu,2016,15,87.54729241877256
bol u grlu,2016,16,89.94584837545126
bol u grlu,2016,17,70.75740072202166
bol u grlu,2016,18,85.14873646209386
bol u grlu,2016,19,61.163176895306854
bol u grlu,2016,20,79.15234657039711
bol u grlu,2016,21,45.57256317689531
bol u grlu,2016,22,61.163176895306854
bol u grlu,2016,23,68.35884476534295
bol u grlu,2016,24,0.0
bol u grlu,2016,25,68.35884476534295
bol u grlu,2016,26,64.7610108303249
bol u grlu,2016,27,40.7754512635379
bol u grlu,2016,28,74.3552346570397
bol u grlu,2016,29,47.97111913357401
bol u grlu,2016,30,65.96028880866426
bol u grlu,2016,31,59.96389891696751
bol u grlu,2016,32,0.0
bol u grlu,2016,33,63.56173285198555
bol u grlu,2016,34,55.166787003610104
bol u grlu,2016,35,73.15595667870036
bol u grlu,2016,36,56.36606498194946
bol u grlu,2016,37,79.15234657039711
bol u grlu,2016,38,89.94584837545126
bol u grlu,2016,39,100.73935018050541
bol u grlu,2016,40,73.15595667870036
bol u grlu,2016,41,85.14873646209386
bol u grlu,2016,42,119.92779783393502
bol u grlu,2016,43,80.35162454873645
bol u grlu,2016,44,97.14151624548737
bol u grlu,2016,45,98.3407942238267
bol u grlu,2016,46,88.74657039711191
bol u grlu,2016,47,82.75018050541516
bol u grlu,2016,48,86.3480144404332
bol u grlu,2016,49,99.54007220216606
bol u grlu,2016,50,89.94584837545126
bol u grlu,2016,51,107.93501805054152
bol u grlu,2016,52,97.14151624548737
bol u grlu,2017,1,87.54729241877256
bol u grlu,2017,2,71.95667870036101
bol u grlu,2017,3,83.94945848375451
bol u grlu,2017,4,89.94584837545126
bol u grlu,2017,5,91.14512635379062
bol u grlu,2017,6,92.34440433212995
bol u grlu,2017,7,68.35884476534295
bol u grlu,2017,8,92.34440433212995
bol u grlu,2017,9,86.3480144404332
bol u grlu,2017,10,104.33718411552346
bol u grlu,2017,11,81.5509025270758
bol u grlu,2017,12,103.13790613718412
bol u grlu,2017,13,92.34440433212995
bol u grlu,2017,14,115.1306859205776
bol u grlu,2017,15,71.95667870036101
bol u grlu,2017,16,85.14873646209386
bol u grlu,2017,17,103.13790613718412
bol u grlu,2017,18,75.55451263537906
bol u grlu,2017,19,75.55451263537906
bol u grlu,2017,20,79.15234657039711
bol u grlu,2017,21,44.373285198555955
bol u grlu,2017,22,65.96028880866426
bol u grlu,2017,23,50.369675090252706
bol u grlu,2017,24,65.96028880866426
bol u grlu,2017,25,70.75740072202166
bol u grlu,2017,26,0.0
bol u grlu,2017,27,59.96389891696751
bol u grlu,2017,28,52.768231046931405
bol u grlu,2017,29,45.57256317689531
bol u grlu,2017,30,40.7754512635379
bol u grlu,2017,31,67.15956678700361
bol u grlu,2017,32,70.75740072202166
bol u grlu,2017,33,80.35162454873645
bol u grlu,2017,34,75.55451263537906
bol u grlu,2017,35,82.75018050541516
bol u grlu,2017,36,81.5509025270758
bol u grlu,2017,37,64.7610108303249
bol u grlu,2017,38,104.33718411552346
bol u grlu,2017,39,80.35162454873645
bol u grlu,2017,40,80.35162454873645
bol u grlu,2017,41,107.93501805054152
bol u grlu,2017,42,69.5581227436823
bol u grlu,2017,43,0.0
bol u grlu,2017,44,89.94584837545126
bol u grlu,2017,45,82.75018050541516
bol u grlu,2017,46,41.974729241877256
bol u grlu,2017,47,74.3552346570397
bol u grlu,2017,48,58.764620938628155
bol u grlu,2017,49,98.3407942238267
bol u grlu,2017,50,82.75018050541516
bol u grlu,2017,51,105.53646209386281
bol u grlu,2017,52,98.3407942238267
bol u grlu,2018,1,112.73212996389891
bol u grlu,2018,2,112.73212996389891
bol u grlu,2018,3,86.3480144404332
bol u grlu,2018,4,105.53646209386281
bol u grlu,2018,5,116.32996389891696
bol u grlu,2018,6,92.34440433212995
bol u grlu,2018,7,91.14512635379062
bol u grlu,2018,8,93.54368231046931
bol u grlu,2018,9,95.94223826714801
bol u grlu,2018,10,107.93501805054152
bol u grlu,2018,11,87.54729241877256
bol u grlu,2018,12,104.33718411552346
bol u grlu,2018,13,86.3480144404332
bol u grlu,2018,14,69.5581227436823
bol u grlu,2018,15,57.5653429602888
bol u grlu,2018,16,76.75379061371841
bol u grlu,2018,17,73.15595667870036
bol u grlu,2018,18,67.15956678700361
bol u grlu,2018,19,64.7610108303249
bol u grlu,2018,20,81.5509025270758
bol u grlu,2018,21,106.73574007220216
bol u grlu,2018,22,69.5581227436823
bol u grlu,2018,23,59.96389891696751
bol u grlu,2018,24,69.5581227436823
bol u grlu,2018,25,81.5509025270758
bol u grlu,2018,26,62.36245487364621
bol u grlu,2018,27,59.779394612607604
bol u grlu,2018,28,70.17581106697413
bol u grlu,2018,29,77.97312340774904
bol u grlu,2018,30,67.57670695338251
bol u grlu,2018,31,80.57222752134068
bol u grlu,2018,32,85.77043574852395
bol u grlu,2018,33,72.77491518056577
bol u grlu,2018,34,72.77491518056577
bol u grlu,2018,35,70.17581106697413
bol u grlu,2018,36,90.96864397570722
bol u grlu,2018,37,77.97312340774904
bol u grlu,2018,38,75.3740192941574
bol u grlu,2018,39,83.17133163493232
bol u grlu,2018,40,88.36953986211559
bol u grlu,2018,41,77.97312340774904
bol u grlu,2018,42,80.57222752134068
bol u grlu,2018,43,98.76595631648212
bol u grlu,2018,44,85.77043574852395
bol u grlu,2018,45,96.1668522028905
bol u grlu,2018,46,90.96864397570722
bol u grlu,2018,47,90.96864397570722
bol u grlu,2018,48,90.96864397570722
bol u grlu,2018,49,106.56326865725703
bol u grlu,2018,50,98.76595631648212
bol u grlu,2018,51,116.95968511162357
bol u grlu,2018,52,145.54983036113154
bol u grlu,2019,1,114.36058099803193
bol u grlu,2019,2,96.1668522028905
bol u grlu,2019,3,114.36058099803193
bol u grlu,2019,4,101.36506043007375
bol u grlu,2019,5,145.54983036113154
bol u grlu,2019,6,109.16237277084866
bol u grlu,2019,7,80.57222752134068
bol u grlu,2019,8,70.17581106697413
bol u grlu,2019,9,90.96864397570722
bol u grlu,2019,10,85.77043574852395
bol u grlu,2019,11,83.17133163493232
bol u grlu,2019,12,72.77491518056577
bol u grlu,2019,13,93.56774808929886
bol u grlu,2019,14,80.57222752134068
