keyword,ISO_YEAR,ISO_WEEK,trend_value,date,INF_ALL,ILI_ACTIVITY
bol u grlu,2012,52,41.0,2012-12-24,0.0,2.0
bol u grlu,2013,1,53.0,2012-12-31,0.0,2.0
bol u grlu,2013,2,43.0,2013-01-07,3.0,3.0
bol u grlu,2013,3,30.0,2013-01-14,16.0,3.0
bol u grlu,2013,4,38.0,2013-01-21,14.0,3.0
bol u grlu,2013,5,30.0,2013-01-28,23.0,5.0
bol u grlu,2013,6,29.0,2013-02-04,30.0,6.0
bol u grlu,2013,7,37.0,2013-02-11,66.0,6.0
bol u grlu,2013,8,0.0,2013-02-18,41.0,6.0
bol u grlu,2013,9,39.0,2013-02-25,29.0,6.0
bol u grlu,2013,10,0.0,2013-03-04,25.0,6.0
bol u grlu,2013,11,0.0,2013-03-11,10.0,5.0
bol u grlu,2013,12,43.0,2013-03-18,7.0,5.0
bol u grlu,2013,13,30.0,2013-03-25,3.0,1.0
bol u grlu,2013,14,48.0,2013-04-01,3.0,3.0
bol u grlu,2013,15,50.0,2013-04-08,1.0,3.0
bol u grlu,2013,16,0.0,2013-04-15,3.0,3.0
bol u grlu,2013,17,0.0,2013-04-22,0.0,2.0
bol u grlu,2013,18,56.0,2013-04-29,0.0,2.0
bol u grlu,2013,19,33.0,2013-05-06,0.0,2.0
bol u grlu,2013,20,35.0,2013-05-13,0.0,2.0
bol u grlu,2013,21,0.0,2013-05-20,,
bol u grlu,2013,22,42.0,2013-05-27,,
bol u grlu,2013,23,42.0,2013-06-03,,
bol u grlu,2013,24,0.0,2013-06-10,,
bol u grlu,2013,25,0.0,2013-06-17,,
bol u grlu,2013,26,0.0,2013-06-24,,
bol u grlu,2013,27,35.0,2013-07-01,,
bol u grlu,2013,28,0.0,2013-07-08,,
bol u grlu,2013,29,55.0,2013-07-15,,
bol u grlu,2013,30,67.0,2013-07-22,,
bol u grlu,2013,31,0.0,2013-07-29,,
bol u grlu,2013,32,0.0,2013-08-05,,
bol u grlu,2013,33,0.0,2013-08-12,,
bol u grlu,2013,34,41.0,2013-08-19,,
bol u grlu,2013,35,38.0,2013-08-26,,
bol u grlu,2013,36,35.0,2013-09-02,,
bol u grlu,2013,37,36.0,2013-09-09,,
bol u grlu,2013,38,0.0,2013-09-16,,
bol u grlu,2013,39,0.0,2013-09-23,,
bol u grlu,2013,40,49.0,2013-09-30,,
bol u grlu,2013,41,47.0,2013-10-07,0.0,1.0
bol u grlu,2013,42,39.0,2013-10-14,0.0,1.0
bol u grlu,2013,43,49.0,2013-10-21,0.0,1.0
bol u grlu,2013,44,0.0,2013-10-28,0.0,1.0
bol u grlu,2013,45,38.0,2013-11-04,0.0,1.0
bol u grlu,2013,46,59.0,2013-11-11,0.0,1.0
bol u grlu,2013,47,48.0,2013-11-18,0.0,1.0
bol u grlu,2013,48,0.0,2013-11-25,0.0,1.0
bol u grlu,2013,49,44.0,2013-12-02,0.0,1.0
bol u grlu,2013,50,41.0,2013-12-09,0.0,1.0
bol u grlu,2013,51,54.0,2013-12-16,0.0,1.0
bol u grlu,2013,52,0.0,2013-12-23,0.0,1.0
bol u grlu,2014,1,41.0,2013-12-30,0.0,1.0
bol u grlu,2014,2,49.0,2014-01-06,1.0,1.0
bol u grlu,2014,3,36.0,2014-01-13,2.0,1.0
bol u grlu,2014,4,29.0,2014-01-20,3.0,1.0
bol u grlu,2014,5,37.0,2014-01-27,2.0,1.0
bol u grlu,2014,6,39.0,2014-02-03,3.0,1.0
bol u grlu,2014,7,30.0,2014-02-10,20.0,1.0
bol u grlu,2014,8,44.0,2014-02-17,6.0,1.0
bol u grlu,2014,9,64.0,2014-02-24,15.0,1.0
bol u grlu,2014,10,48.0,2014-03-03,12.0,1.0
bol u grlu,2014,11,59.0,2014-03-10,15.0,1.0
bol u grlu,2014,12,46.0,2014-03-17,16.0,1.0
bol u grlu,2014,13,70.0,2014-03-24,20.0,1.0
bol u grlu,2014,14,42.0,2014-03-31,9.0,1.0
bol u grlu,2014,15,28.0,2014-04-07,5.0,1.0
bol u grlu,2014,16,51.0,2014-04-14,3.0,1.0
bol u grlu,2014,17,47.0,2014-04-21,1.0,1.0
bol u grlu,2014,18,37.0,2014-04-28,0.0,1.0
bol u grlu,2014,19,39.0,2014-05-05,1.0,1.0
bol u grlu,2014,20,31.0,2014-05-12,0.0,1.0
bol u grlu,2014,21,40.0,2014-05-19,,
bol u grlu,2014,22,38.0,2014-05-26,,
bol u grlu,2014,23,47.0,2014-06-02,,
bol u grlu,2014,24,36.0,2014-06-09,,
bol u grlu,2014,25,31.0,2014-06-16,,
bol u grlu,2014,26,34.0,2014-06-23,,
bol u grlu,2014,27,0.0,2014-06-30,,
bol u grlu,2014,28,0.0,2014-07-07,,
bol u grlu,2014,29,0.0,2014-07-14,,
bol u grlu,2014,30,0.0,2014-07-21,,
bol u grlu,2014,31,0.0,2014-07-28,,
bol u grlu,2014,32,42.0,2014-08-04,,
bol u grlu,2014,33,53.0,2014-08-11,,
bol u grlu,2014,34,47.0,2014-08-18,,
bol u grlu,2014,35,40.0,2014-08-25,,
bol u grlu,2014,36,75.0,2014-09-01,,
bol u grlu,2014,37,66.0,2014-09-08,,
bol u grlu,2014,38,55.0,2014-09-15,,
bol u grlu,2014,39,82.0,2014-09-22,1.0,1.0
bol u grlu,2014,40,63.0,2014-09-29,1.0,1.0
bol u grlu,2014,41,65.0,2014-10-06,0.0,1.0
