ISO_YEAR,ISO_WEEK,date,bol u grlu,bol u misicima,bronhitis,caj za grip,curenje nosa,grip,kasalj,lek za grip,lek za prehladu,malaksalost,povisena temperatura,prehlada,recept za kolac,simptomi gripa,simptomi prehlade,sirup za kasalj,tenis,vakcina protiv gripa,virus gripa,vreme sutra,INF_ALL,ILI_ACTIVITY
2013,1,2012-12-31,59.0,0.0,63.0,0.0,0.0,19.0,39.0,0.0,0.0,0.0,0.0,62.0,37.0,0.0,,0.0,18.0,0.0,0.0,15.0,,
2013,2,2013-01-07,0.0,0.0,58.0,0.0,0.0,29.0,42.0,0.0,0.0,0.0,58.0,52.0,49.0,0.0,,0.0,42.0,0.0,0.0,32.0,3.0,3.0
2013,3,2013-01-14,39.0,0.0,53.0,0.0,0.0,17.0,43.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,,54.0,66.0,0.0,0.0,25.0,16.0,3.0
2013,4,2013-01-21,0.0,0.0,56.0,0.0,0.0,22.0,43.0,0.0,0.0,58.0,0.0,46.0,39.0,0.0,,75.0,39.0,0.0,0.0,16.0,14.0,3.0
2013,5,2013-01-28,62.0,0.0,58.0,0.0,0.0,31.0,53.0,0.0,0.0,67.0,0.0,59.0,40.0,0.0,,56.0,21.0,0.0,0.0,23.0,23.0,5.0
2013,6,2013-02-04,37.0,0.0,60.0,0.0,0.0,40.0,67.0,0.0,0.0,0.0,65.0,74.0,32.0,18.0,,0.0,22.0,0.0,0.0,27.0,30.0,6.0
2013,7,2013-02-11,37.0,0.0,63.0,0.0,0.0,36.0,62.0,0.0,0.0,88.0,56.0,47.0,54.0,20.0,,66.0,21.0,0.0,67.0,16.0,66.0,6.0
2013,8,2013-02-18,70.0,0.0,42.0,0.0,0.0,28.0,54.0,0.0,0.0,50.0,65.0,42.0,52.0,0.0,,56.0,37.0,0.0,0.0,23.0,41.0,6.0
2013,9,2013-02-25,46.0,0.0,72.0,0.0,0.0,28.0,50.0,0.0,0.0,43.0,0.0,44.0,32.0,0.0,,0.0,23.0,0.0,0.0,22.0,29.0,6.0
2013,10,2013-03-04,41.0,0.0,47.0,0.0,0.0,25.0,41.0,0.0,0.0,55.0,70.0,23.0,37.0,0.0,,72.0,47.0,0.0,0.0,40.0,25.0,6.0
2013,11,2013-03-11,0.0,0.0,63.0,0.0,0.0,20.0,32.0,0.0,0.0,0.0,72.0,39.0,34.0,0.0,,0.0,28.0,0.0,0.0,47.0,10.0,5.0
2013,12,2013-03-18,0.0,0.0,44.0,0.0,0.0,17.0,48.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,,0.0,36.0,0.0,0.0,42.0,7.0,5.0
2013,13,2013-03-25,43.0,0.0,46.0,0.0,0.0,17.0,34.0,0.0,0.0,47.0,0.0,37.0,32.0,0.0,,0.0,28.0,0.0,0.0,40.0,3.0,1.0
2013,14,2013-04-01,47.0,0.0,50.0,0.0,0.0,15.0,31.0,0.0,0.0,0.0,0.0,40.0,43.0,0.0,,0.0,26.0,0.0,0.0,46.0,3.0,3.0
2013,15,2013-04-08,0.0,0.0,33.0,0.0,0.0,18.0,39.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,,0.0,40.0,0.0,0.0,21.0,1.0,3.0
2013,16,2013-04-15,0.0,0.0,37.0,0.0,0.0,18.0,37.0,0.0,0.0,54.0,0.0,25.0,0.0,0.0,,0.0,34.0,0.0,0.0,24.0,3.0,3.0
2013,17,2013-04-22,45.0,0.0,48.0,0.0,0.0,13.0,31.0,0.0,0.0,0.0,84.0,0.0,66.0,0.0,,0.0,19.0,0.0,0.0,25.0,,2.0
2013,18,2013-04-29,41.0,0.0,35.0,0.0,0.0,13.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,41.0,0.0,0.0,53.0,,2.0
2013,19,2013-05-06,0.0,0.0,0.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,,0.0,49.0,0.0,0.0,52.0,,2.0
2013,20,2013-05-13,42.0,0.0,28.0,0.0,0.0,13.0,24.0,0.0,0.0,46.0,0.0,24.0,47.0,0.0,,0.0,24.0,0.0,0.0,77.0,,2.0
2013,21,2013-05-20,0.0,0.0,36.0,0.0,0.0,12.0,22.0,0.0,0.0,59.0,0.0,26.0,0.0,0.0,,0.0,61.0,0.0,0.0,72.0,,
2013,22,2013-05-27,45.0,0.0,34.0,0.0,0.0,14.0,26.0,0.0,0.0,0.0,0.0,37.0,31.0,0.0,,0.0,70.0,0.0,0.0,68.0,,
2013,23,2013-06-03,46.0,0.0,35.0,0.0,0.0,15.0,28.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,,0.0,28.0,0.0,0.0,71.0,,
2013,24,2013-06-10,0.0,0.0,32.0,0.0,0.0,8.0,28.0,0.0,0.0,0.0,0.0,27.0,41.0,0.0,,0.0,21.0,0.0,0.0,39.0,,
2013,25,2013-06-17,0.0,0.0,0.0,0.0,0.0,10.0,26.0,0.0,0.0,0.0,0.0,38.0,32.0,0.0,,0.0,47.0,0.0,0.0,72.0,,
2013,26,2013-06-24,0.0,0.0,0.0,0.0,0.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,,0.0,58.0,0.0,0.0,40.0,,
2013,27,2013-07-01,0.0,0.0,31.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,29.0,0.0,0.0,35.0,,
2013,28,2013-07-08,0.0,0.0,33.0,0.0,0.0,9.0,22.0,0.0,0.0,63.0,0.0,0.0,49.0,0.0,,59.0,19.0,0.0,0.0,28.0,,
2013,29,2013-07-15,67.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,,0.0,20.0,0.0,0.0,15.0,,
2013,30,2013-07-22,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,98.0,0.0,29.0,53.0,0.0,,62.0,20.0,0.0,0.0,23.0,,
2013,31,2013-07-29,0.0,0.0,0.0,0.0,0.0,11.0,20.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,,0.0,31.0,0.0,0.0,27.0,,
2013,32,2013-08-05,0.0,0.0,0.0,0.0,0.0,13.0,20.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,,0.0,48.0,0.0,0.0,26.0,,
2013,33,2013-08-12,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,65.0,31.0,40.0,0.0,,0.0,23.0,0.0,0.0,29.0,,
2013,34,2013-08-19,0.0,0.0,35.0,0.0,0.0,11.0,25.0,0.0,0.0,54.0,0.0,0.0,42.0,0.0,,0.0,38.0,0.0,0.0,28.0,,
2013,35,2013-08-26,50.0,0.0,33.0,0.0,0.0,8.0,21.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,,0.0,55.0,0.0,0.0,40.0,,
2013,36,2013-09-02,0.0,0.0,28.0,0.0,60.0,16.0,31.0,0.0,0.0,50.0,0.0,63.0,33.0,0.0,,0.0,36.0,0.0,0.0,45.0,,
2013,37,2013-09-09,46.0,0.0,37.0,0.0,0.0,16.0,38.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,,0.0,22.0,0.0,0.0,42.0,,
2013,38,2013-09-16,38.0,0.0,67.0,0.0,0.0,14.0,42.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,,0.0,18.0,0.0,0.0,41.0,,
2013,39,2013-09-23,0.0,0.0,43.0,0.0,96.0,14.0,47.0,0.0,0.0,0.0,0.0,78.0,61.0,0.0,,0.0,39.0,0.0,0.0,40.0,,
2013,40,2013-09-30,63.0,0.0,61.0,0.0,70.0,16.0,52.0,0.0,0.0,49.0,0.0,81.0,37.0,0.0,,0.0,61.0,0.0,0.0,35.0,,
2013,41,2013-10-07,57.0,0.0,68.0,0.0,0.0,17.0,56.0,0.0,100.0,0.0,0.0,41.0,43.0,0.0,,0.0,30.0,0.0,0.0,44.0,,1.0
2013,42,2013-10-14,44.0,0.0,45.0,0.0,0.0,16.0,47.0,0.0,0.0,0.0,0.0,44.0,61.0,0.0,,0.0,30.0,0.0,0.0,26.0,,1.0
2013,43,2013-10-21,44.0,0.0,39.0,0.0,0.0,16.0,48.0,0.0,0.0,0.0,0.0,42.0,54.0,0.0,,0.0,46.0,0.0,0.0,20.0,,1.0
2013,44,2013-10-28,39.0,0.0,49.0,0.0,0.0,19.0,52.0,0.0,0.0,0.0,0.0,45.0,42.0,0.0,,65.0,46.0,0.0,0.0,32.0,,1.0
2013,45,2013-11-04,37.0,0.0,47.0,0.0,0.0,11.0,62.0,0.0,0.0,0.0,0.0,43.0,61.0,0.0,,0.0,35.0,0.0,0.0,36.0,,1.0
2013,46,2013-11-11,51.0,0.0,60.0,0.0,0.0,14.0,51.0,0.0,0.0,51.0,0.0,32.0,63.0,0.0,,0.0,22.0,0.0,0.0,30.0,,1.0
2013,47,2013-11-18,77.0,0.0,64.0,0.0,0.0,10.0,50.0,0.0,0.0,0.0,0.0,54.0,46.0,0.0,,0.0,14.0,0.0,0.0,30.0,,1.0
2013,48,2013-11-25,0.0,0.0,56.0,0.0,0.0,16.0,55.0,0.0,0.0,0.0,56.0,62.0,46.0,0.0,,0.0,12.0,0.0,0.0,20.0,,1.0
2013,49,2013-12-02,54.0,0.0,62.0,0.0,0.0,11.0,54.0,0.0,0.0,0.0,0.0,51.0,66.0,0.0,,0.0,11.0,0.0,0.0,14.0,,1.0
