date,trend_value,keyword
2012-12-30,41.0,bol u grlu
2013-01-06,53.0,bol u grlu
2013-01-13,43.0,bol u grlu
2013-01-20,30.0,bol u grlu
2013-01-27,38.0,bol u grlu
2013-02-03,30.0,bol u grlu
2013-02-10,29.0,bol u grlu
2013-02-17,37.0,bol u grlu
2013-02-24,0.0,bol u grlu
2013-03-03,39.0,bol u grlu
2013-03-10,0.0,bol u grlu
2013-03-17,0.0,bol u grlu
2013-03-24,43.0,bol u grlu
2013-03-31,30.0,bol u grlu
2013-04-07,48.0,bol u grlu
2013-04-14,50.0,bol u grlu
2013-04-21,0.0,bol u grlu
2013-04-28,0.0,bol u grlu
2013-05-05,56.0,bol u grlu
2013-05-12,33.0,bol u grlu
2013-05-19,35.0,bol u grlu
2013-05-26,0.0,bol u grlu
2013-06-02,42.0,bol u grlu
2013-06-09,42.0,bol u grlu
2013-06-16,0.0,bol u grlu
2013-06-23,0.0,bol u grlu
2013-06-30,0.0,bol u grlu
2013-07-07,35.0,bol u grlu
2013-07-14,0.0,bol u grlu
2013-07-21,55.0,bol u grlu
2013-07-28,67.0,bol u grlu
2013-08-04,0.0,bol u grlu
2013-08-11,0.0,bol u grlu
2013-08-18,0.0,bol u grlu
2013-08-25,41.0,bol u grlu
2013-09-01,38.0,bol u grlu
2013-09-08,35.0,bol u grlu
2013-09-15,36.0,bol u grlu
2013-09-22,0.0,bol u grlu
2013-09-29,0.0,bol u grlu
2013-10-06,49.0,bol u grlu
2013-10-13,47.0,bol u grlu
2013-10-20,39.0,bol u grlu
2013-10-27,49.0,bol u grlu
2013-11-03,0.0,bol u grlu
2013-11-10,38.0,bol u grlu
2013-11-17,59.0,bol u grlu
2013-11-24,48.0,bol u grlu
2013-12-01,0.0,bol u grlu
2013-12-08,44.0,bol u grlu
2013-12-15,41.0,bol u grlu
2013-12-22,54.0,bol u grlu
2013-12-29,0.0,bol u grlu
2014-01-05,41.0,bol u grlu
2014-01-12,49.0,bol u grlu
2014-01-19,36.0,bol u grlu
2014-01-26,29.0,bol u grlu
2014-02-02,37.0,bol u grlu
2014-02-09,39.0,bol u grlu
2014-02-16,30.0,bol u grlu
2014-02-23,44.0,bol u grlu
2014-03-02,64.0,bol u grlu
2014-03-09,48.0,bol u grlu
2014-03-16,59.0,bol u grlu
2014-03-23,46.0,bol u grlu
2014-03-30,70.0,bol u grlu
2014-04-06,42.0,bol u grlu
