date,trend_value,keyword
2012-12-30,10.0,grip
2013-01-06,16.0,grip
2013-01-13,29.0,grip
2013-01-20,16.0,grip
2013-01-27,22.0,grip
2013-02-03,29.0,grip
2013-02-10,40.0,grip
2013-02-17,38.0,grip
2013-02-24,30.0,grip
2013-03-03,25.0,grip
2013-03-10,25.0,grip
2013-03-17,20.0,grip
2013-03-24,17.0,grip
2013-03-31,18.0,grip
2013-04-07,16.0,grip
2013-04-14,17.0,grip
2013-04-21,15.0,grip
2013-04-28,14.0,grip
2013-05-05,13.0,grip
2013-05-12,9.0,grip
2013-05-19,9.0,grip
2013-05-26,12.0,grip
2013-06-02,12.0,grip
2013-06-09,10.0,grip
2013-06-16,7.0,grip
2013-06-23,10.0,grip
2013-06-30,10.0,grip
2013-07-07,8.0,grip
2013-07-14,5.0,grip
2013-07-21,10.0,grip
2013-07-28,9.0,grip
2013-08-04,10.0,grip
2013-08-11,8.0,grip
2013-08-18,13.0,grip
2013-08-25,11.0,grip
2013-09-01,7.0,grip
2013-09-08,14.0,grip
2013-09-15,17.0,grip
2013-09-22,16.0,grip
2013-09-29,13.0,grip
2013-10-06,18.0,grip
2013-10-13,16.0,grip
2013-10-20,17.0,grip
2013-10-27,14.0,grip
2013-11-03,18.0,grip
2013-11-10,13.0,grip
2013-11-17,11.0,grip
2013-11-24,10.0,grip
2013-12-01,13.0,grip
2013-12-08,15.0,grip
2013-12-15,17.0,grip
2013-12-22,18.0,grip
2013-12-29,16.0,grip
2014-01-05,20.0,grip
2014-01-12,20.0,grip
2014-01-19,21.0,grip
2014-01-26,17.0,grip
2014-02-02,17.0,grip
2014-02-09,17.0,grip
2014-02-16,33.0,grip
2014-02-23,21.0,grip
2014-03-02,24.0,grip
2014-03-09,17.0,grip
2014-03-16,20.0,grip
2014-03-23,20.0,grip
2014-03-30,16.0,grip
2014-04-06,16.0,grip
2014-04-13,12.0,grip
2014-04-20,12.0,grip
2014-04-27,11.0,grip
2014-05-04,13.0,grip
2014-05-11,12.0,grip
2014-05-18,11.0,grip
2014-05-25,13.0,grip
2014-06-01,13.0,grip
2014-06-08,10.0,grip
2014-06-15,10.0,grip
2014-06-22,9.0,grip
2014-06-29,12.0,grip
2014-07-06,11.0,grip
2014-07-13,9.0,grip
2014-07-20,7.0,grip
2014-07-27,13.0,grip
2014-08-03,12.0,grip
2014-08-10,15.0,grip
2014-08-17,12.0,grip
2014-08-24,15.0,grip
2014-08-31,13.0,grip
2014-09-07,13.0,grip
2014-09-14,13.0,grip
2014-09-21,12.0,grip
2014-09-28,20.0,grip
2014-10-05,20.0,grip
2014-10-12,13.0,grip
2014-10-19,19.0,grip
2014-10-26,13.0,grip
2014-11-02,21.0,grip
2014-11-09,16.0,grip
2014-11-16,17.0,grip
2014-11-23,16.0,grip
2014-11-30,12.0,grip
2014-12-07,16.0,grip
2014-12-14,15.0,grip
2014-12-21,17.0,grip
2014-12-28,18.0,grip
2015-01-04,19.0,grip
2015-01-11,19.0,grip
2015-01-18,27.0,grip
2015-01-25,23.0,grip
2015-02-01,20.0,grip
2015-02-08,22.0,grip
2015-02-15,31.0,grip
2015-02-22,36.0,grip
2015-03-01,100.0,grip
2015-03-08,99.0,grip
2015-03-15,40.0,grip
2015-03-22,38.0,grip
2015-03-29,28.0,grip
2015-04-05,21.0,grip
2015-04-12,15.0,grip
2015-04-19,11.0,grip
2015-04-26,13.0,grip
2015-05-03,13.0,grip
2015-05-10,15.0,grip
2015-05-17,11.0,grip
2015-05-24,9.0,grip
2015-05-31,8.0,grip
2015-06-07,11.0,grip
2015-06-14,11.0,grip
