date,trend_value,keyword
2012-12-30,0.0,kašalj
2013-01-06,0.0,kašalj
2013-01-13,0.0,kašalj
2013-01-20,48.0,kašalj
2013-01-27,0.0,kašalj
2013-02-03,44.0,kašalj
2013-02-10,64.0,kašalj
2013-02-17,72.0,kašalj
2013-02-24,48.0,kašalj
2013-03-03,62.0,kašalj
2013-03-10,64.0,kašalj
2013-03-17,0.0,kašalj
2013-03-24,43.0,kašalj
2013-03-31,0.0,kašalj
2013-04-07,0.0,kašalj
2013-04-14,0.0,kašalj
2013-04-21,0.0,kašalj
2013-04-28,0.0,kašalj
2013-05-05,0.0,kašalj
2013-05-12,0.0,kašalj
2013-05-19,52.0,kašalj
2013-05-26,0.0,kašalj
2013-06-02,0.0,kašalj
2013-06-09,0.0,kašalj
2013-06-16,0.0,kašalj
2013-06-23,0.0,kašalj
2013-06-30,0.0,kašalj
2013-07-07,0.0,kašalj
2013-07-14,0.0,kašalj
2013-07-21,0.0,kašalj
2013-07-28,0.0,kašalj
2013-08-04,0.0,kašalj
2013-08-11,0.0,kašalj
2013-08-18,0.0,kašalj
2013-08-25,0.0,kašalj
2013-09-01,0.0,kašalj
2013-09-08,0.0,kašalj
2013-09-15,0.0,kašalj
2013-09-22,0.0,kašalj
2013-09-29,64.0,kašalj
2013-10-06,0.0,kašalj
2013-10-13,62.0,kašalj
2013-10-20,0.0,kašalj
2013-10-27,0.0,kašalj
2013-11-03,0.0,kašalj
2013-11-10,48.0,kašalj
2013-11-17,48.0,kašalj
2013-11-24,0.0,kašalj
2013-12-01,64.0,kašalj
2013-12-08,55.0,kašalj
2013-12-15,0.0,kašalj
2013-12-22,0.0,kašalj
2013-12-29,0.0,kašalj
2014-01-05,61.0,kašalj
2014-01-12,68.0,kašalj
2014-01-19,0.0,kašalj
2014-01-26,0.0,kašalj
2014-02-02,49.0,kašalj
2014-02-09,0.0,kašalj
2014-02-16,63.0,kašalj
2014-02-23,64.0,kašalj
2014-03-02,56.0,kašalj
2014-03-09,51.0,kašalj
2014-03-16,0.0,kašalj
2014-03-23,0.0,kašalj
2014-03-30,48.0,kašalj
2014-04-06,58.0,kašalj
2014-04-13,43.0,kašalj
2014-04-20,0.0,kašalj
2014-04-27,0.0,kašalj
2014-05-04,0.0,kašalj
2014-05-11,0.0,kašalj
2014-05-18,47.0,kašalj
2014-05-25,0.0,kašalj
2014-06-01,0.0,kašalj
2014-06-08,0.0,kašalj
2014-06-15,0.0,kašalj
2014-06-22,0.0,kašalj
2014-06-29,0.0,kašalj
2014-07-06,0.0,kašalj
2014-07-13,0.0,kašalj
2014-07-20,0.0,kašalj
2014-07-27,0.0,kašalj
2014-08-03,0.0,kašalj
2014-08-10,0.0,kašalj
2014-08-17,0.0,kašalj
2014-08-24,0.0,kašalj
2014-08-31,54.0,kašalj
2014-09-07,84.0,kašalj
2014-09-14,0.0,kašalj
2014-09-21,56.0,kašalj
2014-09-28,65.0,kašalj
2014-10-05,48.0,kašalj
2014-10-12,0.0,kašalj
2014-10-19,71.0,kašalj
2014-10-26,74.0,kašalj
2014-11-02,67.0,kašalj
2014-11-09,44.0,kašalj
2014-11-16,67.0,kašalj
2014-11-23,87.0,kašalj
2014-11-30,44.0,kašalj
2014-12-07,63.0,kašalj
2014-12-14,55.0,kašalj
2014-12-21,72.0,kašalj
2014-12-28,73.0,kašalj
2015-01-04,86.0,kašalj
2015-01-11,72.0,kašalj
2015-01-18,90.0,kašalj
2015-01-25,0.0,kašalj
2015-02-01,62.0,kašalj
2015-02-08,72.0,kašalj
2015-02-15,73.0,kašalj
2015-02-22,72.0,kašalj
2015-03-01,92.0,kašalj
2015-03-08,52.0,kašalj
2015-03-15,76.0,kašalj
2015-03-22,69.0,kašalj
2015-03-29,94.0,kašalj
2015-04-05,81.0,kašalj
2015-04-12,0.0,kašalj
2015-04-19,0.0,kašalj
2015-04-26,58.0,kašalj
2015-05-03,0.0,kašalj
2015-05-10,64.0,kašalj
2015-05-17,0.0,kašalj
2015-05-24,0.0,kašalj
2015-05-31,66.0,kašalj
2015-06-07,0.0,kašalj
2015-06-14,44.0,kašalj
2015-06-21,0.0,kašalj
2015-06-28,0.0,kašalj
2015-07-05,0.0,kašalj
2015-07-12,0.0,kašalj
2015-07-19,0.0,kašalj
2015-07-26,0.0,kašalj
2015-08-02,0.0,kašalj
2015-08-09,0.0,kašalj
2015-08-16,0.0,kašalj
2015-08-23,0.0,kašalj
2015-08-30,0.0,kašalj
2015-09-06,0.0,kašalj
2015-09-13,0.0,kašalj
2015-09-20,0.0,kašalj
2015-09-27,67.0,kašalj
2015-10-04,43.0,kašalj
2015-10-11,59.0,kašalj
2015-10-18,75.0,kašalj
2015-10-25,70.0,kašalj
2015-11-01,52.0,kašalj
2015-11-08,44.0,kašalj
2015-11-15,73.0,kašalj
2015-11-22,64.0,kašalj
2015-11-29,78.0,kašalj
2015-12-06,54.0,kašalj
2015-12-13,61.0,kašalj
2015-12-20,88.0,kašalj
2015-12-27,100.0,kašalj
2016-01-03,79.9445324881141,kašalj
2016-01-10,58.90649762282092,kašalj
2016-01-17,60.30903328050714,kašalj
2016-01-24,68.72424722662441,kašalj
2016-01-31,64.51664025356577,kašalj
2016-02-07,84.15213946117275,kašalj
2016-02-14,58.90649762282092,kašalj
2016-02-21,74.33438985736926,kašalj
2016-02-28,58.90649762282092,kašalj
2016-03-06,57.503961965134714,kašalj
2016-03-13,60.30903328050714,kašalj
2016-03-20,68.72424722662441,kašalj
2016-03-27,72.93185419968304,kašalj
2016-04-03,63.11410459587956,kašalj
2016-04-10,70.12678288431063,kašalj
2016-04-17,49.08874801901744,kašalj
2016-04-24,0.0,kašalj
2016-05-01,40.67353407290016,kašalj
2016-05-08,0.0,kašalj
2016-05-15,39.27099841521395,kašalj
