date,trend_value,keyword
2012-12-30,63.0,prehlada
2013-01-06,63.0,prehlada
2013-01-13,60.0,prehlada
2013-01-20,37.0,prehlada
2013-01-27,36.0,prehlada
2013-02-03,61.0,prehlada
2013-02-10,63.0,prehlada
2013-02-17,54.0,prehlada
2013-02-24,48.0,prehlada
2013-03-03,41.0,prehlada
2013-03-10,33.0,prehlada
2013-03-17,45.0,prehlada
2013-03-24,55.0,prehlada
2013-03-31,32.0,prehlada
2013-04-07,45.0,prehlada
2013-04-14,30.0,prehlada
2013-04-21,0.0,prehlada
2013-04-28,0.0,prehlada
2013-05-05,0.0,prehlada
2013-05-12,0.0,prehlada
2013-05-19,33.0,prehlada
2013-05-26,34.0,prehlada
2013-06-02,31.0,prehlada
2013-06-09,0.0,prehlada
2013-06-16,25.0,prehlada
2013-06-23,26.0,prehlada
2013-06-30,24.0,prehlada
2013-07-07,0.0,prehlada
2013-07-14,25.0,prehlada
2013-07-21,0.0,prehlada
2013-07-28,0.0,prehlada
2013-08-04,0.0,prehlada
2013-08-11,0.0,prehlada
2013-08-18,33.0,prehlada
2013-08-25,0.0,prehlada
2013-09-01,45.0,prehlada
2013-09-08,53.0,prehlada
2013-09-15,53.0,prehlada
2013-09-22,80.0,prehlada
2013-09-29,74.0,prehlada
2013-10-06,78.0,prehlada
2013-10-13,49.0,prehlada
2013-10-20,24.0,prehlada
2013-10-27,32.0,prehlada
2013-11-03,48.0,prehlada
2013-11-10,46.0,prehlada
2013-11-17,69.0,prehlada
2013-11-24,54.0,prehlada
2013-12-01,58.0,prehlada
2013-12-08,61.0,prehlada
2013-12-15,70.0,prehlada
2013-12-22,53.0,prehlada
2013-12-29,45.0,prehlada
2014-01-05,58.0,prehlada
2014-01-12,49.0,prehlada
2014-01-19,36.0,prehlada
2014-01-26,53.0,prehlada
2014-02-02,53.0,prehlada
2014-02-09,71.0,prehlada
2014-02-16,47.0,prehlada
2014-02-23,49.0,prehlada
2014-03-02,45.0,prehlada
2014-03-09,53.0,prehlada
2014-03-16,55.0,prehlada
2014-03-23,47.0,prehlada
2014-03-30,34.0,prehlada
2014-04-06,37.0,prehlada
2014-04-13,24.0,prehlada
2014-04-20,40.0,prehlada
2014-04-27,46.0,prehlada
2014-05-04,51.0,prehlada
2014-05-11,34.0,prehlada
2014-05-18,40.0,prehlada
2014-05-25,28.0,prehlada
2014-06-01,37.0,prehlada
2014-06-08,22.0,prehlada
2014-06-15,33.0,prehlada
2014-06-22,48.0,prehlada
