date,trend_value,keyword
2012-12-30,23.0,tenis
2013-01-06,16.0,tenis
2013-01-13,37.0,tenis
2013-01-20,58.0,tenis
2013-01-27,35.0,tenis
2013-02-03,18.0,tenis
2013-02-10,20.0,tenis
2013-02-17,19.0,tenis
2013-02-24,33.0,tenis
2013-03-03,20.0,tenis
2013-03-10,42.0,tenis
2013-03-17,25.0,tenis
2013-03-24,32.0,tenis
2013-03-31,25.0,tenis
2013-04-07,23.0,tenis
2013-04-14,34.0,tenis
2013-04-21,30.0,tenis
2013-04-28,18.0,tenis
2013-05-05,36.0,tenis
2013-05-12,43.0,tenis
2013-05-19,21.0,tenis
2013-05-26,54.0,tenis
2013-06-02,62.0,tenis
2013-06-09,25.0,tenis
2013-06-16,18.0,tenis
2013-06-23,42.0,tenis
2013-06-30,51.0,tenis
2013-07-07,26.0,tenis
2013-07-14,17.0,tenis
2013-07-21,17.0,tenis
2013-07-28,17.0,tenis
2013-08-04,28.0,tenis
2013-08-11,43.0,tenis
2013-08-18,21.0,tenis
2013-08-25,34.0,tenis
2013-09-01,49.0,tenis
2013-09-08,32.0,tenis
2013-09-15,19.0,tenis
2013-09-22,15.0,tenis
2013-09-29,35.0,tenis
2013-10-06,53.0,tenis
2013-10-13,27.0,tenis
2013-10-20,26.0,tenis
2013-10-27,41.0,tenis
2013-11-03,41.0,tenis
2013-11-10,31.0,tenis
2013-11-17,19.0,tenis
2013-11-24,12.0,tenis
2013-12-01,10.0,tenis
2013-12-08,10.0,tenis
2013-12-15,10.0,tenis
2013-12-22,13.0,tenis
2013-12-29,18.0,tenis
2014-01-05,15.0,tenis
2014-01-12,40.0,tenis
2014-01-19,50.0,tenis
2014-01-26,20.0,tenis
2014-02-02,14.0,tenis
2014-02-09,19.0,tenis
2014-02-16,20.0,tenis
2014-02-23,27.0,tenis
2014-03-02,19.0,tenis
2014-03-09,36.0,tenis
2014-03-16,28.0,tenis
2014-03-23,44.0,tenis
2014-03-30,25.0,tenis
2014-04-06,18.0,tenis
2014-04-13,36.0,tenis
2014-04-20,25.0,tenis
2014-04-27,18.0,tenis
2014-05-04,26.0,tenis
2014-05-11,47.0,tenis
2014-05-18,22.0,tenis
2014-05-25,50.0,tenis
2014-06-01,62.0,tenis
2014-06-08,29.0,tenis
2014-06-15,18.0,tenis
2014-06-22,41.0,tenis
2014-06-29,50.0,tenis
2014-07-06,22.0,tenis
2014-07-13,17.0,tenis
2014-07-20,20.0,tenis
2014-07-27,18.0,tenis
2014-08-03,30.0,tenis
2014-08-10,33.0,tenis
2014-08-17,21.0,tenis
2014-08-24,34.0,tenis
2014-08-31,49.0,tenis
2014-09-07,23.0,tenis
2014-09-14,20.0,tenis
2014-09-21,19.0,tenis
2014-09-28,36.0,tenis
2014-10-05,41.0,tenis
2014-10-12,18.0,tenis
2014-10-19,26.0,tenis
2014-10-26,34.0,tenis
2014-11-02,16.0,tenis
2014-11-09,36.0,tenis
2014-11-16,21.0,tenis
2014-11-23,10.0,tenis
2014-11-30,9.0,tenis
2014-12-07,10.0,tenis
2014-12-14,9.0,tenis
2014-12-21,7.0,tenis
2014-12-28,12.0,tenis
2015-01-04,24.0,tenis
2015-01-11,17.0,tenis
2015-01-18,34.0,tenis
2015-01-25,61.0,tenis
2015-02-01,26.0,tenis
2015-02-08,16.0,tenis
2015-02-15,20.0,tenis
2015-02-22,41.0,tenis
2015-03-01,21.0,tenis
2015-03-08,23.0,tenis
2015-03-15,36.0,tenis
2015-03-22,40.0,tenis
2015-03-29,40.0,tenis
2015-04-05,26.0,tenis
2015-04-12,43.0,tenis
2015-04-19,28.0,tenis
2015-04-26,20.0,tenis
2015-05-03,28.0,tenis
2015-05-10,51.0,tenis
2015-05-17,27.0,tenis
2015-05-24,54.0,tenis
2015-05-31,100.0,tenis
2015-06-07,32.0,tenis
2015-06-14,25.0,tenis
2015-06-21,17.0,tenis
2015-06-28,46.0,tenis
2015-07-05,66.0,tenis
2015-07-12,29.0,tenis
2015-07-19,15.0,tenis
2015-07-26,15.0,tenis
2015-08-02,15.0,tenis
2015-08-09,40.0,tenis
2015-08-16,52.0,tenis
2015-08-23,22.0,tenis
2015-08-30,40.0,tenis
2015-09-06,47.0,tenis
2015-09-13,27.0,tenis
2015-09-20,14.0,tenis
2015-09-27,14.0,tenis
2015-10-04,33.0,tenis
2015-10-11,49.0,tenis
2015-10-18,24.0,tenis
2015-10-25,18.0,tenis
2015-11-01,42.0,tenis
2015-11-08,18.0,tenis
2015-11-15,42.0,tenis
2015-11-22,18.0,tenis
2015-11-29,9.0,tenis
2015-12-06,9.0,tenis
2015-12-13,9.0,tenis
2015-12-20,9.0,tenis
2015-12-27,10.0,tenis
2016-01-03,31.320293398533003,tenis
2016-01-10,17.00244498777506,tenis
2016-01-17,46.53300733496332,tenis
2016-01-24,74.27383863080684,tenis
2016-01-31,26.845965770171148,tenis
2016-02-07,18.792176039119802,tenis
2016-02-14,21.476772616136916,tenis
2016-02-21,33.11002444987775,tenis
2016-02-28,17.00244498777506,tenis
2016-03-06,26.845965770171148,tenis
2016-03-13,46.53300733496332,tenis
2016-03-20,38.47921760391198,tenis
2016-03-27,55.481662591687034,tenis
2016-04-03,22.37163814180929,tenis
2016-04-10,34.899755501222494,tenis
2016-04-17,21.476772616136916,tenis
2016-04-24,17.00244498777506,tenis
2016-05-01,46.53300733496332,tenis
2016-05-08,73.37897310513446,tenis
2016-05-15,28.63569682151589,tenis
2016-05-22,76.95843520782395,tenis
2016-05-29,89.48655256723715,tenis
2016-06-05,37.584352078239604,tenis
2016-06-12,26.845965770171148,tenis
2016-06-19,18.792176039119802,tenis
2016-06-26,59.955990220048896,tenis
2016-07-03,34.00488997555012,tenis
2016-07-10,19.687041564792175,tenis
2016-07-17,17.00244498777506,tenis
2016-07-24,29.530562347188262,tenis
2016-07-31,26.845965770171148,tenis
2016-08-07,35.79462102689486,tenis
2016-08-14,25.056234718826403,tenis
2016-08-21,15.212713936430315,tenis
2016-08-28,45.63814180929095,tenis
2016-09-04,59.061124694376524,tenis
2016-09-11,25.056234718826403,tenis
2016-09-18,14.317848410757945,tenis
2016-09-25,17.89731051344743,tenis
2016-10-02,18.792176039119802,tenis
2016-10-09,49.21760391198043,tenis
2016-10-16,17.00244498777506,tenis
2016-10-23,20.581907090464547,tenis
2016-10-30,57.27139364303178,tenis
2016-11-06,18.792176039119802,tenis
2016-11-13,68.00977995110024,tenis
2016-11-20,24.16136919315403,tenis
2016-11-27,14.317848410757945,tenis
2016-12-04,9.843520782396087,tenis
2016-12-11,8.948655256723715,tenis
2016-12-18,8.053789731051344,tenis
2016-12-25,8.948655256723715,tenis
2017-01-01,55.481662591687034,tenis
2017-01-08,18.792176039119802,tenis
2017-01-15,61.745721271393634,tenis
2017-01-22,51.00733496332518,tenis
2017-01-29,29.530562347188262,tenis
2017-02-05,19.687041564792175,tenis
2017-02-12,14.317848410757945,tenis
2017-02-19,14.317848410757945,tenis
2017-02-26,30.42542787286063,tenis
2017-03-05,20.581907090464547,tenis
2017-03-12,50.112469437652805,tenis
2017-03-19,22.37163814180929,tenis
2017-03-26,26.845965770171148,tenis
2017-04-02,18.792176039119802,tenis
2017-04-09,15.212713936430315,tenis
2017-04-16,48.32273838630806,tenis
2017-04-23,21.476772616136916,tenis
2017-04-30,19.687041564792175,tenis
2017-05-07,50.112469437652805,tenis
2017-05-14,67.11491442542787,tenis
2017-05-21,25.951100244498775,tenis
2017-05-28,69.79951100244499,tenis
2017-06-04,79.64303178484107,tenis
2017-06-11,18.792176039119802,tenis
2017-06-18,18.792176039119802,tenis
2017-06-25,40.26894865525672,tenis
2017-07-02,59.061124694376524,tenis
2017-07-09,73.37897310513446,tenis
2017-07-16,17.89731051344743,tenis
2017-07-23,13.422982885085574,tenis
2017-07-30,13.422982885085574,tenis
2017-08-06,17.00244498777506,tenis
2017-08-13,20.581907090464547,tenis
2017-08-20,15.212713936430315,tenis
2017-08-27,28.63569682151589,tenis
2017-09-03,26.845965770171148,tenis
2017-09-10,16.107579462102688,tenis
2017-09-17,14.317848410757945,tenis
2017-09-24,12.528117359413201,tenis
2017-10-01,13.422982885085574,tenis
2017-10-08,20.581907090464547,tenis
2017-10-15,14.317848410757945,tenis
2017-10-22,13.422982885085574,tenis
2017-10-29,21.476772616136916,tenis
2017-11-05,16.107579462102688,tenis
2017-11-12,19.687041564792175,tenis
2017-11-19,9.843520782396087,tenis
2017-11-26,8.053789731051344,tenis
2017-12-03,7.158924205378972,tenis
2017-12-10,7.158924205378972,tenis
2017-12-17,6.264058679706601,tenis
2017-12-24,10.738386308068458,tenis
2017-12-31,12.528117359413201,tenis
2018-01-07,15.212713936430315,tenis
2018-01-14,54.58679706601466,tenis
2018-01-21,58.16625916870415,tenis
2018-01-28,18.792176039119802,tenis
2018-02-04,14.317848410757945,tenis
2018-02-11,15.212713936430315,tenis
2018-02-18,14.317848410757945,tenis
2018-02-25,15.212713936430315,tenis
2018-03-04,17.89731051344743,tenis
2018-03-11,25.951100244498775,tenis
2018-03-18,27.740831295843517,tenis
2018-03-25,27.740831295843517,tenis
2018-04-01,15.212713936430315,tenis
2018-04-08,14.317848410757945,tenis
2018-04-15,42.95354523227383,tenis
2018-04-22,27.740831295843517,tenis
2018-04-29,17.89731051344743,tenis
2018-05-06,50.112469437652805,tenis
2018-05-13,77.85330073349633,tenis
2018-05-20,23.26650366748166,tenis
2018-05-27,73.37897310513446,tenis
2018-06-03,69.79951100244499,tenis
2018-06-10,17.89731051344743,tenis
2018-06-17,41.163814180929094,tenis
2018-06-24,31.320293398533003,tenis
2018-07-01,50.112469437652805,tenis
2018-07-08,86.48408288261587,tenis
2018-07-15,38.11162974488157,tenis
2018-07-22,21.987478698970136,tenis
2018-07-29,21.987478698970136,tenis
2018-08-05,54.235780790793,tenis
2018-08-12,90.8815786224099,tenis
2018-08-19,43.97495739794027,tenis
2018-08-26,77.68909140302782,tenis
2018-09-02,87.94991479588055,tenis
2018-09-09,33.714134005087544,tenis
2018-09-16,19.055814872440784,tenis
2018-09-23,19.055814872440784,tenis
2018-09-30,17.58998295917611,tenis
2018-10-07,55.70161270405768,tenis
2018-10-14,27.85080635202884,tenis
2018-10-21,21.987478698970136,tenis
2018-10-28,65.96243609691041,tenis
2018-11-04,24.91914252549949,tenis
2018-11-11,60.099108443851705,tenis
2018-11-18,19.055814872440784,tenis
2018-11-25,7.329159566323379,tenis
2018-12-02,5.863327653058703,tenis
2018-12-09,7.329159566323379,tenis
2018-12-16,5.863327653058703,tenis
2018-12-23,16.124151045911432,tenis
2018-12-30,55.70161270405768,tenis
2019-01-06,16.124151045911432,tenis
2019-01-13,67.42826801017509,tenis
2019-01-20,87.94991479588055,tenis
2019-01-27,36.645797831616896,tenis
2019-02-03,17.58998295917611,tenis
2019-02-10,14.658319132646758,tenis
2019-02-17,17.58998295917611,tenis
2019-02-24,30.782470178558192,tenis
2019-03-03,26.384974438764164,tenis
2019-03-10,63.03077227038106,tenis
2019-03-17,52.76994887752833,tenis
2019-03-24,73.29159566323379,tenis
2019-03-31,17.58998295917611,tenis
2019-04-07,16.124151045911432,tenis
2019-04-14,60.099108443851705,tenis
2019-04-21,39.57746165814625,tenis
2019-04-28,27.85080635202884,tenis
2019-05-05,74.75742757649846,tenis
2019-05-12,107.00572966832134,tenis
2019-05-19,41.04329357141092,tenis
2019-05-26,102.6082339285273,tenis
2019-06-02,134.85653602035018,tenis
2019-06-09,24.91914252549949,tenis
2019-06-16,19.055814872440784,tenis
2019-06-23,23.453310612234812,tenis
2019-06-30,92.34741053567457,tenis
2019-07-07,85.0182509693512,tenis
2019-07-14,60.099108443851705,tenis
2019-07-21,27.85080635202884,tenis
2019-07-28,19.055814872440784,tenis
2019-08-04,32.248302091822865,tenis
2019-08-11,79.1549233162925,tenis
2019-08-18,32.248302091822865,tenis
2019-08-25,83.55241905608652,tenis
2019-09-01,60.099108443851705,tenis
2019-09-08,24.91914252549949,tenis
2019-09-15,14.658319132646758,tenis
2019-09-22,16.124151045911432,tenis
2019-09-29,42.5091254846756,tenis
2019-10-06,70.35993183670443,tenis
