date,trend_value,keyword
2012-12-30,46.0,vitamin c
2013-01-06,26.0,vitamin c
2013-01-13,36.0,vitamin c
2013-01-20,48.0,vitamin c
2013-01-27,24.0,vitamin c
2013-02-03,38.0,vitamin c
2013-02-10,55.0,vitamin c
2013-02-17,51.0,vitamin c
2013-02-24,76.0,vitamin c
2013-03-03,42.0,vitamin c
2013-03-10,46.0,vitamin c
2013-03-17,70.0,vitamin c
2013-03-24,74.0,vitamin c
2013-03-31,43.0,vitamin c
2013-04-07,51.0,vitamin c
2013-04-14,74.0,vitamin c
2013-04-21,49.0,vitamin c
2013-04-28,38.0,vitamin c
2013-05-05,42.0,vitamin c
2013-05-12,49.0,vitamin c
2013-05-19,27.0,vitamin c
2013-05-26,32.0,vitamin c
2013-06-02,49.0,vitamin c
2013-06-09,30.0,vitamin c
2013-06-16,36.0,vitamin c
2013-06-23,43.0,vitamin c
2013-06-30,42.0,vitamin c
2013-07-07,0.0,vitamin c
2013-07-14,44.0,vitamin c
2013-07-21,0.0,vitamin c
2013-07-28,44.0,vitamin c
2013-08-04,47.0,vitamin c
2013-08-11,36.0,vitamin c
2013-08-18,42.0,vitamin c
2013-08-25,44.0,vitamin c
2013-09-01,29.0,vitamin c
2013-09-08,41.0,vitamin c
2013-09-15,55.0,vitamin c
2013-09-22,46.0,vitamin c
2013-09-29,44.0,vitamin c
2013-10-06,31.0,vitamin c
2013-10-13,41.0,vitamin c
2013-10-20,55.0,vitamin c
2013-10-27,45.0,vitamin c
2013-11-03,45.0,vitamin c
2013-11-10,67.0,vitamin c
2013-11-17,38.0,vitamin c
2013-11-24,80.0,vitamin c
2013-12-01,62.0,vitamin c
2013-12-08,58.0,vitamin c
2013-12-15,58.0,vitamin c
2013-12-22,41.0,vitamin c
2013-12-29,37.0,vitamin c
2014-01-05,45.0,vitamin c
2014-01-12,65.0,vitamin c
2014-01-19,53.0,vitamin c
2014-01-26,51.0,vitamin c
2014-02-02,47.0,vitamin c
2014-02-09,73.0,vitamin c
2014-02-16,46.0,vitamin c
2014-02-23,57.0,vitamin c
2014-03-02,37.0,vitamin c
2014-03-09,59.0,vitamin c
2014-03-16,51.0,vitamin c
2014-03-23,53.0,vitamin c
2014-03-30,94.0,vitamin c
2014-04-06,44.0,vitamin c
2014-04-13,35.0,vitamin c
2014-04-20,47.0,vitamin c
2014-04-27,55.0,vitamin c
2014-05-04,62.0,vitamin c
2014-05-11,52.0,vitamin c
2014-05-18,35.0,vitamin c
2014-05-25,54.0,vitamin c
2014-06-01,52.0,vitamin c
2014-06-08,0.0,vitamin c
2014-06-15,50.0,vitamin c
2014-06-22,45.0,vitamin c
2014-06-29,42.0,vitamin c
