date,trend_value,keyword
2012-12-30,15.0,vreme sutra
2013-01-06,15.0,vreme sutra
2013-01-13,27.0,vreme sutra
2013-01-20,26.0,vreme sutra
2013-01-27,17.0,vreme sutra
2013-02-03,24.0,vreme sutra
2013-02-10,24.0,vreme sutra
2013-02-17,17.0,vreme sutra
2013-02-24,22.0,vreme sutra
2013-03-03,24.0,vreme sutra
2013-03-10,41.0,vreme sutra
2013-03-17,49.0,vreme sutra
2013-03-24,43.0,vreme sutra
2013-03-31,40.0,vreme sutra
2013-04-07,48.0,vreme sutra
2013-04-14,22.0,vreme sutra
2013-04-21,26.0,vreme sutra
2013-04-28,16.0,vreme sutra
2013-05-05,53.0,vreme sutra
2013-05-12,52.0,vreme sutra
2013-05-19,76.0,vreme sutra
2013-05-26,75.0,vreme sutra
2013-06-02,67.0,vreme sutra
2013-06-09,70.0,vreme sutra
2013-06-16,41.0,vreme sutra
2013-06-23,75.0,vreme sutra
2013-06-30,41.0,vreme sutra
2013-07-07,32.0,vreme sutra
2013-07-14,20.0,vreme sutra
2013-07-21,17.0,vreme sutra
2013-07-28,22.0,vreme sutra
2013-08-04,27.0,vreme sutra
2013-08-11,26.0,vreme sutra
2013-08-18,41.0,vreme sutra
2013-08-25,25.0,vreme sutra
2013-09-01,45.0,vreme sutra
2013-09-08,47.0,vreme sutra
2013-09-15,44.0,vreme sutra
2013-09-22,42.0,vreme sutra
2013-09-29,37.0,vreme sutra
2013-10-06,34.0,vreme sutra
2013-10-13,45.0,vreme sutra
2013-10-20,32.0,vreme sutra
2013-10-27,20.0,vreme sutra
2013-11-03,33.0,vreme sutra
2013-11-10,37.0,vreme sutra
2013-11-17,24.0,vreme sutra
2013-11-24,31.0,vreme sutra
2013-12-01,17.0,vreme sutra
2013-12-08,16.0,vreme sutra
2013-12-15,11.0,vreme sutra
2013-12-22,15.0,vreme sutra
2013-12-29,12.0,vreme sutra
2014-01-05,15.0,vreme sutra
2014-01-12,24.0,vreme sutra
2014-01-19,27.0,vreme sutra
2014-01-26,39.0,vreme sutra
2014-02-02,24.0,vreme sutra
2014-02-09,34.0,vreme sutra
2014-02-16,28.0,vreme sutra
2014-02-23,34.0,vreme sutra
2014-03-02,36.0,vreme sutra
2014-03-09,25.0,vreme sutra
2014-03-16,32.0,vreme sutra
2014-03-23,42.0,vreme sutra
2014-03-30,41.0,vreme sutra
2014-04-06,61.0,vreme sutra
2014-04-13,58.0,vreme sutra
2014-04-20,64.0,vreme sutra
2014-04-27,65.0,vreme sutra
2014-05-04,43.0,vreme sutra
2014-05-11,83.0,vreme sutra
2014-05-18,52.0,vreme sutra
2014-05-25,60.0,vreme sutra
2014-06-01,36.0,vreme sutra
2014-06-08,36.0,vreme sutra
2014-06-15,58.0,vreme sutra
2014-06-22,60.0,vreme sutra
2014-06-29,68.0,vreme sutra
2014-07-06,70.0,vreme sutra
2014-07-13,49.0,vreme sutra
2014-07-20,55.0,vreme sutra
2014-07-27,83.0,vreme sutra
2014-08-03,59.0,vreme sutra
2014-08-10,47.0,vreme sutra
2014-08-17,54.0,vreme sutra
2014-08-24,52.0,vreme sutra
2014-08-31,78.0,vreme sutra
2014-09-07,77.0,vreme sutra
2014-09-14,54.0,vreme sutra
2014-09-21,68.0,vreme sutra
2014-09-28,42.0,vreme sutra
