date,trend_value,keyword,ISO_YEAR,ISO_WEEK
2013-01-06,19.0,grip,2013,1
2013-01-13,29.0,grip,2013,2
2013-01-20,17.0,grip,2013,3
2013-01-27,22.0,grip,2013,4
2013-02-03,31.0,grip,2013,5
2013-02-10,40.0,grip,2013,6
2013-02-17,36.0,grip,2013,7
2013-02-24,28.0,grip,2013,8
2013-03-03,28.0,grip,2013,9
2013-03-10,25.0,grip,2013,10
2013-03-17,20.0,grip,2013,11
2013-03-24,17.0,grip,2013,12
2013-03-31,17.0,grip,2013,13
2013-04-07,15.0,grip,2013,14
2013-04-14,18.0,grip,2013,15
2013-04-21,18.0,grip,2013,16
2013-04-28,13.0,grip,2013,17
2013-05-05,13.0,grip,2013,18
2013-05-12,6.0,grip,2013,19
2013-05-19,13.0,grip,2013,20
2013-05-26,12.0,grip,2013,21
2013-06-02,14.0,grip,2013,22
2013-06-09,15.0,grip,2013,23
2013-06-16,8.0,grip,2013,24
2013-06-23,10.0,grip,2013,25
2013-06-30,9.0,grip,2013,26
2013-07-07,8.0,grip,2013,27
2013-07-14,9.0,grip,2013,28
2013-07-21,8.0,grip,2013,29
2013-07-28,8.0,grip,2013,30
2013-08-04,11.0,grip,2013,31
2013-08-11,13.0,grip,2013,32
2013-08-18,11.0,grip,2013,33
2013-08-25,11.0,grip,2013,34
2013-09-01,8.0,grip,2013,35
2013-09-08,16.0,grip,2013,36
2013-09-15,16.0,grip,2013,37
2013-09-22,14.0,grip,2013,38
2013-09-29,14.0,grip,2013,39
2013-10-06,16.0,grip,2013,40
2013-10-13,17.0,grip,2013,41
2013-10-20,16.0,grip,2013,42
2013-10-27,16.0,grip,2013,43
2013-11-03,19.0,grip,2013,44
2013-11-10,11.0,grip,2013,45
2013-11-17,14.0,grip,2013,46
2013-11-24,10.0,grip,2013,47
2013-12-01,16.0,grip,2013,48
2013-12-08,11.0,grip,2013,49
2013-12-15,18.0,grip,2013,50
2013-12-22,17.0,grip,2013,51
2013-12-29,17.0,grip,2013,52
2014-01-05,19.0,grip,2014,1
2014-01-12,21.0,grip,2014,2
2014-01-19,20.0,grip,2014,3
2014-01-26,16.0,grip,2014,4
2014-02-02,15.0,grip,2014,5
2014-02-09,19.0,grip,2014,6
2014-02-16,33.0,grip,2014,7
2014-02-23,22.0,grip,2014,8
2014-03-02,23.0,grip,2014,9
2014-03-09,19.0,grip,2014,10
2014-03-16,19.0,grip,2014,11
2014-03-23,22.0,grip,2014,12
2014-03-30,15.0,grip,2014,13
2014-04-06,12.0,grip,2014,14
2014-04-13,16.0,grip,2014,15
2014-04-20,13.0,grip,2014,16
2014-04-27,10.0,grip,2014,17
2014-05-04,13.0,grip,2014,18
2014-05-11,13.0,grip,2014,19
2014-05-18,9.0,grip,2014,20
