date,trend_value,keyword
2012-12-30,39.0,bol u grlu
2013-01-06,48.0,bol u grlu
2013-01-13,32.0,bol u grlu
2013-01-20,0.0,bol u grlu
2013-01-27,0.0,bol u grlu
2013-02-03,38.0,bol u grlu
2013-02-10,49.0,bol u grlu
2013-02-17,32.0,bol u grlu
2013-02-24,0.0,bol u grlu
2013-03-03,41.0,bol u grlu
2013-03-10,38.0,bol u grlu
2013-03-17,31.0,bol u grlu
2013-03-24,38.0,bol u grlu
2013-03-31,0.0,bol u grlu
2013-04-07,47.0,bol u grlu
2013-04-14,38.0,bol u grlu
2013-04-21,39.0,bol u grlu
2013-04-28,68.0,bol u grlu
2013-05-05,48.0,bol u grlu
2013-05-12,0.0,bol u grlu
2013-05-19,39.0,bol u grlu
2013-05-26,0.0,bol u grlu
2013-06-02,33.0,bol u grlu
2013-06-09,59.0,bol u grlu
2013-06-16,0.0,bol u grlu
2013-06-23,0.0,bol u grlu
2013-06-30,0.0,bol u grlu
2013-07-07,0.0,bol u grlu
2013-07-14,0.0,bol u grlu
2013-07-21,44.0,bol u grlu
2013-07-28,0.0,bol u grlu
2013-08-04,0.0,bol u grlu
2013-08-11,0.0,bol u grlu
2013-08-18,0.0,bol u grlu
2013-08-25,42.0,bol u grlu
2013-09-01,0.0,bol u grlu
2013-09-08,0.0,bol u grlu
2013-09-15,32.0,bol u grlu
2013-09-22,0.0,bol u grlu
2013-09-29,47.0,bol u grlu
2013-10-06,52.0,bol u grlu
2013-10-13,40.0,bol u grlu
2013-10-20,36.0,bol u grlu
2013-10-27,57.0,bol u grlu
2013-11-03,30.0,bol u grlu
2013-11-10,45.0,bol u grlu
2013-11-17,51.0,bol u grlu
2013-11-24,43.0,bol u grlu
2013-12-01,34.0,bol u grlu
2013-12-08,61.0,bol u grlu
2013-12-15,31.0,bol u grlu
2013-12-22,0.0,bol u grlu
2013-12-29,32.0,bol u grlu
2014-01-05,52.0,bol u grlu
2014-01-12,38.0,bol u grlu
2014-01-19,35.0,bol u grlu
2014-01-26,26.0,bol u grlu
2014-02-02,38.0,bol u grlu
2014-02-09,46.0,bol u grlu
2014-02-16,30.0,bol u grlu
2014-02-23,37.0,bol u grlu
2014-03-02,66.0,bol u grlu
2014-03-09,41.0,bol u grlu
2014-03-16,58.0,bol u grlu
2014-03-23,52.0,bol u grlu
2014-03-30,45.0,bol u grlu
2014-04-06,38.0,bol u grlu
2014-04-13,29.0,bol u grlu
2014-04-20,62.0,bol u grlu
