date,trend_value,keyword
2012-12-30,49.0,bronhitis
2013-01-06,63.0,bronhitis
2013-01-13,58.0,bronhitis
2013-01-20,53.0,bronhitis
2013-01-27,56.0,bronhitis
2013-02-03,58.0,bronhitis
2013-02-10,60.0,bronhitis
2013-02-17,63.0,bronhitis
2013-02-24,42.0,bronhitis
2013-03-03,72.0,bronhitis
2013-03-10,47.0,bronhitis
2013-03-17,63.0,bronhitis
2013-03-24,44.0,bronhitis
2013-03-31,46.0,bronhitis
2013-04-07,50.0,bronhitis
2013-04-14,33.0,bronhitis
2013-04-21,37.0,bronhitis
2013-04-28,48.0,bronhitis
2013-05-05,35.0,bronhitis
2013-05-12,0.0,bronhitis
2013-05-19,28.0,bronhitis
2013-05-26,36.0,bronhitis
2013-06-02,34.0,bronhitis
2013-06-09,35.0,bronhitis
2013-06-16,32.0,bronhitis
2013-06-23,0.0,bronhitis
2013-06-30,0.0,bronhitis
2013-07-07,31.0,bronhitis
2013-07-14,33.0,bronhitis
2013-07-21,0.0,bronhitis
2013-07-28,0.0,bronhitis
2013-08-04,0.0,bronhitis
2013-08-11,0.0,bronhitis
2013-08-18,0.0,bronhitis
2013-08-25,35.0,bronhitis
2013-09-01,33.0,bronhitis
2013-09-08,28.0,bronhitis
2013-09-15,37.0,bronhitis
2013-09-22,67.0,bronhitis
2013-09-29,43.0,bronhitis
2013-10-06,61.0,bronhitis
2013-10-13,68.0,bronhitis
2013-10-20,45.0,bronhitis
2013-10-27,39.0,bronhitis
2013-11-03,49.0,bronhitis
2013-11-10,47.0,bronhitis
2013-11-17,60.0,bronhitis
2013-11-24,64.0,bronhitis
2013-12-01,56.0,bronhitis
2013-12-08,62.0,bronhitis
2013-12-15,57.0,bronhitis
2013-12-22,45.0,bronhitis
2013-12-29,59.0,bronhitis
2014-01-05,64.0,bronhitis
2014-01-12,56.0,bronhitis
2014-01-19,50.0,bronhitis
2014-01-26,62.0,bronhitis
2014-02-02,65.0,bronhitis
2014-02-09,75.0,bronhitis
2014-02-16,65.0,bronhitis
2014-02-23,66.0,bronhitis
2014-03-02,100.0,bronhitis
2014-03-09,80.0,bronhitis
2014-03-16,65.0,bronhitis
2014-03-23,62.0,bronhitis
2014-03-30,45.0,bronhitis
2014-04-06,60.0,bronhitis
2014-04-13,0.0,bronhitis
2014-04-20,41.0,bronhitis
2014-04-27,55.0,bronhitis
2014-05-04,71.0,bronhitis
2014-05-11,33.0,bronhitis
2014-05-18,47.0,bronhitis
2014-05-25,63.0,bronhitis
2014-06-01,44.0,bronhitis
2014-06-08,39.0,bronhitis
2014-06-15,45.0,bronhitis
2014-06-22,0.0,bronhitis
2014-06-29,36.0,bronhitis
2014-07-06,0.0,bronhitis
2014-07-13,0.0,bronhitis
2014-07-20,33.0,bronhitis
2014-07-27,0.0,bronhitis
2014-08-03,47.0,bronhitis
2014-08-10,42.0,bronhitis
2014-08-17,28.0,bronhitis
2014-08-24,36.0,bronhitis
2014-08-31,0.0,bronhitis
2014-09-07,68.0,bronhitis
2014-09-14,62.0,bronhitis
2014-09-21,63.0,bronhitis
2014-09-28,64.0,bronhitis
2014-10-05,67.0,bronhitis
2014-10-12,66.0,bronhitis
2014-10-19,86.0,bronhitis
2014-10-26,68.0,bronhitis
