date,trend_value,keyword
2012-12-30,12.0,grip
2013-01-06,19.0,grip
2013-01-13,29.0,grip
2013-01-20,17.0,grip
2013-01-27,22.0,grip
2013-02-03,31.0,grip
2013-02-10,40.0,grip
2013-02-17,36.0,grip
2013-02-24,28.0,grip
2013-03-03,28.0,grip
2013-03-10,25.0,grip
2013-03-17,20.0,grip
2013-03-24,17.0,grip
2013-03-31,17.0,grip
2013-04-07,15.0,grip
2013-04-14,18.0,grip
2013-04-21,18.0,grip
2013-04-28,13.0,grip
2013-05-05,13.0,grip
2013-05-12,6.0,grip
2013-05-19,13.0,grip
2013-05-26,12.0,grip
2013-06-02,14.0,grip
2013-06-09,15.0,grip
2013-06-16,8.0,grip
2013-06-23,10.0,grip
2013-06-30,9.0,grip
2013-07-07,8.0,grip
2013-07-14,9.0,grip
2013-07-21,8.0,grip
2013-07-28,8.0,grip
2013-08-04,11.0,grip
2013-08-11,13.0,grip
2013-08-18,11.0,grip
2013-08-25,11.0,grip
2013-09-01,8.0,grip
2013-09-08,16.0,grip
2013-09-15,16.0,grip
2013-09-22,14.0,grip
2013-09-29,14.0,grip
2013-10-06,16.0,grip
2013-10-13,17.0,grip
2013-10-20,16.0,grip
2013-10-27,16.0,grip
2013-11-03,19.0,grip
2013-11-10,11.0,grip
2013-11-17,14.0,grip
2013-11-24,10.0,grip
2013-12-01,16.0,grip
2013-12-08,11.0,grip
2013-12-15,18.0,grip
2013-12-22,17.0,grip
2013-12-29,17.0,grip
2014-01-05,19.0,grip
2014-01-12,21.0,grip
2014-01-19,20.0,grip
2014-01-26,16.0,grip
2014-02-02,15.0,grip
2014-02-09,19.0,grip
2014-02-16,33.0,grip
2014-02-23,22.0,grip
2014-03-02,23.0,grip
2014-03-09,19.0,grip
2014-03-16,19.0,grip
2014-03-23,22.0,grip
2014-03-30,15.0,grip
2014-04-06,12.0,grip
2014-04-13,16.0,grip
2014-04-20,13.0,grip
2014-04-27,10.0,grip
2014-05-04,13.0,grip
2014-05-11,13.0,grip
2014-05-18,9.0,grip
2014-05-25,15.0,grip
2014-06-01,14.0,grip
2014-06-08,12.0,grip
2014-06-15,11.0,grip
2014-06-22,9.0,grip
2014-06-29,12.0,grip
2014-07-06,12.0,grip
2014-07-13,9.0,grip
2014-07-20,7.0,grip
2014-07-27,14.0,grip
2014-08-03,13.0,grip
2014-08-10,14.0,grip
2014-08-17,12.0,grip
2014-08-24,12.0,grip
2014-08-31,16.0,grip
2014-09-07,13.0,grip
2014-09-14,15.0,grip
2014-09-21,11.0,grip
2014-09-28,19.0,grip
2014-10-05,19.0,grip
2014-10-12,14.0,grip
2014-10-19,20.0,grip
2014-10-26,13.0,grip
2014-11-02,21.0,grip
2014-11-09,16.0,grip
2014-11-16,15.0,grip
2014-11-23,17.0,grip
2014-11-30,12.0,grip
2014-12-07,18.0,grip
2014-12-14,13.0,grip
2014-12-21,15.0,grip
2014-12-28,18.0,grip
2015-01-04,17.0,grip
2015-01-11,20.0,grip
2015-01-18,26.0,grip
2015-01-25,23.0,grip
2015-02-01,22.0,grip
2015-02-08,25.0,grip
2015-02-15,29.0,grip
2015-02-22,36.0,grip
2015-03-01,100.0,grip
2015-03-08,99.0,grip
2015-03-15,42.0,grip
2015-03-22,39.0,grip
2015-03-29,30.0,grip
2015-04-05,20.0,grip
2015-04-12,15.0,grip
2015-04-19,16.0,grip
2015-04-26,17.0,grip
2015-05-03,12.0,grip
2015-05-10,14.0,grip
2015-05-17,11.0,grip
2015-05-24,8.0,grip
2015-05-31,11.0,grip
2015-06-07,11.0,grip
2015-06-14,13.0,grip
2015-06-21,12.0,grip
2015-06-28,11.0,grip
2015-07-05,10.0,grip
2015-07-12,12.0,grip
2015-07-19,7.0,grip
2015-07-26,12.0,grip
2015-08-02,14.0,grip
2015-08-09,12.0,grip
2015-08-16,15.0,grip
2015-08-23,10.0,grip
2015-08-30,10.0,grip
2015-09-06,12.0,grip
2015-09-13,12.0,grip
2015-09-20,14.0,grip
2015-09-27,14.0,grip
2015-10-04,18.0,grip
2015-10-11,19.0,grip
2015-10-18,21.0,grip
2015-10-25,17.0,grip
2015-11-01,21.0,grip
2015-11-08,15.0,grip
2015-11-15,13.0,grip
2015-11-22,16.0,grip
2015-11-29,11.0,grip
2015-12-06,14.0,grip
2015-12-13,17.0,grip
2015-12-20,16.0,grip
2015-12-27,17.0,grip
2016-01-03,22.655826558265584,grip
2016-01-10,18.53658536585366,grip
2016-01-17,18.53658536585366,grip
2016-01-24,16.476964769647697,grip
2016-01-31,20.59620596205962,grip
2016-02-07,21.626016260162604,grip
2016-02-14,24.715447154471548,grip
2016-02-21,21.626016260162604,grip
2016-02-28,18.53658536585366,grip
2016-03-06,24.715447154471548,grip
2016-03-13,20.59620596205962,grip
2016-03-20,27.804878048780488,grip
2016-03-27,29.86449864498645,grip
2016-04-03,22.655826558265584,grip
2016-04-10,15.447154471544716,grip
2016-04-17,9.26829268292683,grip
2016-04-24,17.506775067750677,grip
2016-05-01,7.208672086720868,grip
2016-05-08,9.26829268292683,grip
2016-05-15,13.387533875338754,grip
2016-05-22,9.26829268292683,grip
2016-05-29,10.29810298102981,grip
2016-06-05,12.357723577235774,grip
2016-06-12,9.26829268292683,grip
2016-06-19,8.238482384823849,grip
2016-06-26,8.238482384823849,grip
2016-07-03,18.53658536585366,grip
2016-07-10,17.506775067750677,grip
2016-07-17,10.29810298102981,grip
2016-07-24,10.29810298102981,grip
2016-07-31,12.357723577235774,grip
2016-08-07,9.26829268292683,grip
2016-08-14,11.327913279132792,grip
2016-08-21,9.26829268292683,grip
2016-08-28,17.506775067750677,grip
2016-09-04,10.29810298102981,grip
2016-09-11,11.327913279132792,grip
2016-09-18,13.387533875338754,grip
2016-09-25,13.387533875338754,grip
2016-10-02,13.387533875338754,grip
2016-10-09,20.59620596205962,grip
2016-10-16,16.476964769647697,grip
2016-10-23,14.417344173441736,grip
2016-10-30,22.655826558265584,grip
2016-11-06,17.506775067750677,grip
2016-11-13,24.715447154471548,grip
2016-11-20,19.56639566395664,grip
2016-11-27,18.53658536585366,grip
2016-12-04,29.86449864498645,grip
2016-12-11,29.86449864498645,grip
2016-12-18,48.40108401084011,grip
2016-12-25,71.0569105691057,grip
2017-01-01,102.98102981029811,grip
2017-01-08,61.78861788617886,grip
2017-01-15,29.86449864498645,grip
2017-01-22,28.83468834688347,grip
2017-01-29,28.83468834688347,grip
2017-02-05,20.59620596205962,grip
2017-02-12,17.506775067750677,grip
2017-02-19,15.447154471544716,grip
2017-02-26,18.53658536585366,grip
2017-03-05,13.387533875338754,grip
2017-03-12,14.417344173441736,grip
2017-03-19,16.476964769647697,grip
2017-03-26,17.506775067750677,grip
2017-04-02,17.506775067750677,grip
2017-04-09,12.357723577235774,grip
2017-04-16,14.417344173441736,grip
2017-04-23,18.53658536585366,grip
2017-04-30,15.447154471544716,grip
2017-05-07,15.447154471544716,grip
2017-05-14,9.26829268292683,grip
2017-05-21,10.29810298102981,grip
2017-05-28,14.417344173441736,grip
2017-06-04,12.357723577235774,grip
2017-06-11,11.327913279132792,grip
2017-06-18,11.327913279132792,grip
2017-06-25,9.26829268292683,grip
2017-07-02,11.327913279132792,grip
2017-07-09,8.238482384823849,grip
2017-07-16,9.26829268292683,grip
2017-07-23,11.327913279132792,grip
2017-07-30,9.26829268292683,grip
2017-08-06,8.238482384823849,grip
2017-08-13,15.447154471544716,grip
2017-08-20,13.387533875338754,grip
2017-08-27,11.327913279132792,grip
2017-09-03,13.387533875338754,grip
2017-09-10,17.506775067750677,grip
2017-09-17,14.417344173441736,grip
2017-09-24,16.476964769647697,grip
2017-10-01,12.357723577235774,grip
2017-10-08,17.506775067750677,grip
2017-10-15,21.626016260162604,grip
2017-10-22,14.417344173441736,grip
2017-10-29,20.59620596205962,grip
2017-11-05,18.53658536585366,grip
