date,trend_value,keyword
2012-12-30,0.0,kašalj
2013-01-06,0.0,kašalj
2013-01-13,0.0,kašalj
2013-01-20,0.0,kašalj
2013-01-27,0.0,kašalj
2013-02-03,0.0,kašalj
2013-02-10,56.0,kašalj
2013-02-17,59.0,kašalj
2013-02-24,0.0,kašalj
2013-03-03,0.0,kašalj
2013-03-10,56.0,kašalj
2013-03-17,0.0,kašalj
2013-03-24,0.0,kašalj
2013-03-31,0.0,kašalj
2013-04-07,0.0,kašalj
2013-04-14,0.0,kašalj
2013-04-21,40.0,kašalj
2013-04-28,0.0,kašalj
2013-05-05,0.0,kašalj
2013-05-12,0.0,kašalj
2013-05-19,0.0,kašalj
2013-05-26,40.0,kašalj
2013-06-02,0.0,kašalj
2013-06-09,0.0,kašalj
2013-06-16,0.0,kašalj
2013-06-23,0.0,kašalj
2013-06-30,0.0,kašalj
2013-07-07,0.0,kašalj
2013-07-14,0.0,kašalj
2013-07-21,0.0,kašalj
2013-07-28,0.0,kašalj
2013-08-04,0.0,kašalj
2013-08-11,0.0,kašalj
2013-08-18,0.0,kašalj
2013-08-25,0.0,kašalj
2013-09-01,0.0,kašalj
2013-09-08,0.0,kašalj
2013-09-15,0.0,kašalj
2013-09-22,0.0,kašalj
2013-09-29,47.0,kašalj
2013-10-06,0.0,kašalj
2013-10-13,44.0,kašalj
2013-10-20,43.0,kašalj
2013-10-27,0.0,kašalj
2013-11-03,39.0,kašalj
2013-11-10,45.0,kašalj
2013-11-17,43.0,kašalj
2013-11-24,0.0,kašalj
2013-12-01,60.0,kašalj
2013-12-08,0.0,kašalj
2013-12-15,0.0,kašalj
2013-12-22,0.0,kašalj
2013-12-29,0.0,kašalj
2014-01-05,49.0,kašalj
2014-01-12,44.0,kašalj
2014-01-19,31.0,kašalj
2014-01-26,39.0,kašalj
2014-02-02,0.0,kašalj
2014-02-09,35.0,kašalj
2014-02-16,38.0,kašalj
2014-02-23,59.0,kašalj
2014-03-02,50.0,kašalj
2014-03-09,41.0,kašalj
2014-03-16,40.0,kašalj
2014-03-23,0.0,kašalj
2014-03-30,42.0,kašalj
2014-04-06,37.0,kašalj
2014-04-13,35.0,kašalj
2014-04-20,35.0,kašalj
2014-04-27,0.0,kašalj
2014-05-04,0.0,kašalj
2014-05-11,35.0,kašalj
2014-05-18,0.0,kašalj
2014-05-25,0.0,kašalj
2014-06-01,0.0,kašalj
2014-06-08,0.0,kašalj
2014-06-15,0.0,kašalj
2014-06-22,0.0,kašalj
2014-06-29,0.0,kašalj
2014-07-06,0.0,kašalj
2014-07-13,47.0,kašalj
2014-07-20,0.0,kašalj
2014-07-27,0.0,kašalj
2014-08-03,0.0,kašalj
2014-08-10,0.0,kašalj
2014-08-17,0.0,kašalj
2014-08-24,41.0,kašalj
2014-08-31,38.0,kašalj
2014-09-07,46.0,kašalj
2014-09-14,0.0,kašalj
2014-09-21,40.0,kašalj
2014-09-28,45.0,kašalj
2014-10-05,40.0,kašalj
2014-10-12,35.0,kašalj
2014-10-19,50.0,kašalj
2014-10-26,61.0,kašalj
2014-11-02,59.0,kašalj
2014-11-09,0.0,kašalj
2014-11-16,44.0,kašalj
2014-11-23,40.0,kašalj
2014-11-30,0.0,kašalj
2014-12-07,46.0,kašalj
2014-12-14,37.0,kašalj
2014-12-21,66.0,kašalj
2014-12-28,45.0,kašalj
2015-01-04,66.0,kašalj
2015-01-11,62.0,kašalj
2015-01-18,42.0,kašalj
2015-01-25,57.0,kašalj
2015-02-01,46.0,kašalj
2015-02-08,67.0,kašalj
2015-02-15,58.0,kašalj
2015-02-22,70.0,kašalj
2015-03-01,69.0,kašalj
2015-03-08,59.0,kašalj
2015-03-15,54.0,kašalj
2015-03-22,60.0,kašalj
2015-03-29,69.0,kašalj
2015-04-05,38.0,kašalj
2015-04-12,37.0,kašalj
2015-04-19,42.0,kašalj
2015-04-26,40.0,kašalj
2015-05-03,0.0,kašalj
2015-05-10,41.0,kašalj
2015-05-17,0.0,kašalj
2015-05-24,32.0,kašalj
2015-05-31,57.0,kašalj
2015-06-07,0.0,kašalj
2015-06-14,0.0,kašalj
2015-06-21,33.0,kašalj
2015-06-28,37.0,kašalj
2015-07-05,0.0,kašalj
2015-07-12,0.0,kašalj
2015-07-19,0.0,kašalj
2015-07-26,0.0,kašalj
2015-08-02,0.0,kašalj
2015-08-09,0.0,kašalj
2015-08-16,0.0,kašalj
2015-08-23,0.0,kašalj
2015-08-30,0.0,kašalj
2015-09-06,0.0,kašalj
2015-09-13,0.0,kašalj
2015-09-20,0.0,kašalj
2015-09-27,56.0,kašalj
2015-10-04,37.0,kašalj
2015-10-11,39.0,kašalj
2015-10-18,50.0,kašalj
2015-10-25,45.0,kašalj
2015-11-01,63.0,kašalj
2015-11-08,0.0,kašalj
2015-11-15,60.0,kašalj
2015-11-22,53.0,kašalj
2015-11-29,60.0,kašalj
2015-12-06,49.0,kašalj
2015-12-13,58.0,kašalj
2015-12-20,50.0,kašalj
2015-12-27,100.0,kašalj
2016-01-03,57.86739469578783,kašalj
2016-01-10,47.2386895475819,kašalj
2016-01-17,46.05772230889235,kašalj
2016-01-24,54.32449297971919,kašalj
2016-01-31,53.14352574102964,kašalj
2016-02-07,61.41029641185647,kašalj
2016-02-14,46.05772230889235,kašalj
2016-02-21,75.58190327613104,kašalj
2016-02-28,0.0,kašalj
2016-03-06,48.41965678627145,kašalj
2016-03-13,63.772230889235566,kašalj
2016-03-20,72.0390015600624,kašalj
2016-03-27,55.505460218408736,kašalj
2016-04-03,60.229329173166924,kašalj
2016-04-10,61.41029641185647,kašalj
2016-04-17,38.97191887675507,kašalj
2016-04-24,0.0,kašalj
2016-05-01,33.06708268330733,kašalj
2016-05-08,0.0,kašalj
2016-05-15,0.0,kašalj
2016-05-22,0.0,kašalj
