date,trend_value,keyword
2012-12-30,0.0,malaksalost
2013-01-06,0.0,malaksalost
2013-01-13,0.0,malaksalost
2013-01-20,0.0,malaksalost
2013-01-27,58.0,malaksalost
2013-02-03,67.0,malaksalost
2013-02-10,0.0,malaksalost
2013-02-17,88.0,malaksalost
2013-02-24,50.0,malaksalost
2013-03-03,43.0,malaksalost
2013-03-10,55.0,malaksalost
2013-03-17,0.0,malaksalost
2013-03-24,0.0,malaksalost
2013-03-31,47.0,malaksalost
2013-04-07,0.0,malaksalost
2013-04-14,0.0,malaksalost
2013-04-21,54.0,malaksalost
2013-04-28,0.0,malaksalost
2013-05-05,0.0,malaksalost
2013-05-12,0.0,malaksalost
2013-05-19,46.0,malaksalost
2013-05-26,59.0,malaksalost
2013-06-02,0.0,malaksalost
2013-06-09,0.0,malaksalost
2013-06-16,0.0,malaksalost
2013-06-23,0.0,malaksalost
2013-06-30,0.0,malaksalost
2013-07-07,0.0,malaksalost
2013-07-14,63.0,malaksalost
2013-07-21,0.0,malaksalost
2013-07-28,98.0,malaksalost
2013-08-04,90.0,malaksalost
2013-08-11,55.0,malaksalost
2013-08-18,0.0,malaksalost
2013-08-25,54.0,malaksalost
2013-09-01,0.0,malaksalost
2013-09-08,50.0,malaksalost
2013-09-15,0.0,malaksalost
2013-09-22,0.0,malaksalost
2013-09-29,0.0,malaksalost
2013-10-06,49.0,malaksalost
2013-10-13,0.0,malaksalost
2013-10-20,0.0,malaksalost
2013-10-27,0.0,malaksalost
2013-11-03,0.0,malaksalost
2013-11-10,0.0,malaksalost
2013-11-17,51.0,malaksalost
2013-11-24,0.0,malaksalost
2013-12-01,0.0,malaksalost
2013-12-08,0.0,malaksalost
2013-12-15,43.0,malaksalost
2013-12-22,0.0,malaksalost
2013-12-29,48.0,malaksalost
2014-01-05,62.0,malaksalost
2014-01-12,37.0,malaksalost
2014-01-19,0.0,malaksalost
2014-01-26,0.0,malaksalost
2014-02-02,36.0,malaksalost
2014-02-09,37.0,malaksalost
2014-02-16,0.0,malaksalost
2014-02-23,59.0,malaksalost
2014-03-02,0.0,malaksalost
2014-03-09,40.0,malaksalost
2014-03-16,47.0,malaksalost
2014-03-23,53.0,malaksalost
2014-03-30,0.0,malaksalost
2014-04-06,67.0,malaksalost
2014-04-13,46.0,malaksalost
2014-04-20,51.0,malaksalost
2014-04-27,0.0,malaksalost
2014-05-04,40.0,malaksalost
2014-05-11,37.0,malaksalost
2014-05-18,96.0,malaksalost
2014-05-25,52.0,malaksalost
2014-06-01,46.0,malaksalost
2014-06-08,0.0,malaksalost
2014-06-15,46.0,malaksalost
2014-06-22,49.0,malaksalost
2014-06-29,51.0,malaksalost
2014-07-06,55.0,malaksalost
2014-07-13,83.0,malaksalost
2014-07-20,0.0,malaksalost
2014-07-27,65.0,malaksalost
2014-08-03,0.0,malaksalost
2014-08-10,47.0,malaksalost
2014-08-17,98.0,malaksalost
2014-08-24,44.0,malaksalost
2014-08-31,0.0,malaksalost
2014-09-07,58.0,malaksalost
2014-09-14,0.0,malaksalost
2014-09-21,48.0,malaksalost
2014-09-28,0.0,malaksalost
2014-10-05,52.0,malaksalost
2014-10-12,61.0,malaksalost
2014-10-19,46.0,malaksalost
2014-10-26,53.0,malaksalost
2014-11-02,42.0,malaksalost
2014-11-09,70.0,malaksalost
2014-11-16,60.0,malaksalost
2014-11-23,55.0,malaksalost
2014-11-30,0.0,malaksalost
2014-12-07,46.0,malaksalost
2014-12-14,41.0,malaksalost
2014-12-21,39.0,malaksalost
2014-12-28,0.0,malaksalost
2015-01-04,0.0,malaksalost
2015-01-11,43.0,malaksalost
2015-01-18,44.0,malaksalost
2015-01-25,62.0,malaksalost
2015-02-01,60.0,malaksalost
2015-02-08,0.0,malaksalost
2015-02-15,0.0,malaksalost
2015-02-22,35.0,malaksalost
2015-03-01,51.0,malaksalost
2015-03-08,70.0,malaksalost
2015-03-15,55.0,malaksalost
