date,trend_value,keyword
2015-06-28,29.0,prehlada
2015-07-05,41.0,prehlada
2015-07-12,30.0,prehlada
2015-07-19,23.0,prehlada
2015-07-26,32.0,prehlada
2015-08-02,0.0,prehlada
2015-08-09,31.0,prehlada
2015-08-16,32.0,prehlada
2015-08-23,26.0,prehlada
2015-08-30,26.0,prehlada
2015-09-06,60.0,prehlada
2015-09-13,36.0,prehlada
2015-09-20,65.0,prehlada
2015-09-27,64.0,prehlada
2015-10-04,62.0,prehlada
2015-10-11,77.0,prehlada
2015-10-18,50.0,prehlada
2015-10-25,44.0,prehlada
2015-11-01,62.0,prehlada
2015-11-08,43.0,prehlada
2015-11-15,32.0,prehlada
2015-11-22,50.0,prehlada
2015-11-29,48.0,prehlada
2015-12-06,51.0,prehlada
2015-12-13,56.0,prehlada
2015-12-20,45.0,prehlada
2015-12-27,49.0,prehlada
2016-01-03,84.0,prehlada
2016-01-10,60.0,prehlada
2016-01-17,57.0,prehlada
2016-01-24,50.0,prehlada
2016-01-31,52.0,prehlada
2016-02-07,60.0,prehlada
2016-02-14,42.0,prehlada
2016-02-21,35.0,prehlada
2016-02-28,54.0,prehlada
2016-03-06,48.0,prehlada
2016-03-13,51.0,prehlada
2016-03-20,49.0,prehlada
2016-03-27,61.0,prehlada
2016-04-03,35.0,prehlada
2016-04-10,35.0,prehlada
2016-04-17,39.0,prehlada
2016-04-24,30.0,prehlada
2016-05-01,21.0,prehlada
2016-05-08,35.0,prehlada
2016-05-15,40.0,prehlada
2016-05-22,22.0,prehlada
2016-05-29,17.0,prehlada
2016-06-05,19.0,prehlada
2016-06-12,26.0,prehlada
2016-06-19,19.0,prehlada
2016-06-26,0.0,prehlada
2016-07-03,22.0,prehlada
2016-07-10,31.0,prehlada
2016-07-17,28.0,prehlada
2016-07-24,21.0,prehlada
2016-07-31,34.0,prehlada
2016-08-07,37.0,prehlada
2016-08-14,32.0,prehlada
2016-08-21,31.0,prehlada
2016-08-28,35.0,prehlada
2016-09-04,48.0,prehlada
2016-09-11,64.0,prehlada
2016-09-18,55.0,prehlada
2016-09-25,64.0,prehlada
2016-10-02,70.0,prehlada
2016-10-09,87.0,prehlada
2016-10-16,85.0,prehlada
2016-10-23,65.0,prehlada
2016-10-30,63.0,prehlada
2016-11-06,44.0,prehlada
2016-11-13,52.0,prehlada
2016-11-20,57.0,prehlada
2016-11-27,56.0,prehlada
2016-12-04,63.0,prehlada
2016-12-11,58.0,prehlada
2016-12-18,83.0,prehlada
2016-12-25,100.0,prehlada
2017-01-01,87.0,prehlada
2017-01-08,74.0,prehlada
2017-01-15,45.0,prehlada
2017-01-22,40.0,prehlada
2017-01-29,65.0,prehlada
2017-02-05,54.0,prehlada
2017-02-12,51.0,prehlada
2017-02-19,48.0,prehlada
2017-02-26,36.0,prehlada
2017-03-05,27.0,prehlada
2017-03-12,49.0,prehlada
2017-03-19,30.0,prehlada
2017-03-26,35.0,prehlada
2017-04-02,37.0,prehlada
2017-04-09,45.0,prehlada
2017-04-16,50.0,prehlada
2017-04-23,38.0,prehlada
2017-04-30,51.0,prehlada
2017-05-07,38.0,prehlada
2017-05-14,37.0,prehlada
2017-05-21,60.0,prehlada
2017-05-28,24.0,prehlada
2017-06-04,24.0,prehlada
2017-06-11,23.0,prehlada
2017-06-18,19.0,prehlada
2017-06-25,21.0,prehlada
2017-07-02,0.0,prehlada
2017-07-09,0.0,prehlada
2017-07-16,29.0,prehlada
2017-07-23,0.0,prehlada
2017-07-30,0.0,prehlada
2017-08-06,29.0,prehlada
2017-08-13,28.0,prehlada
2017-08-20,26.0,prehlada
2017-08-27,36.0,prehlada
2017-09-03,39.0,prehlada
2017-09-10,47.0,prehlada
2017-09-17,35.0,prehlada
2017-09-24,90.0,prehlada
2017-10-01,74.0,prehlada
2017-10-08,69.0,prehlada
2017-10-15,58.0,prehlada
2017-10-22,58.0,prehlada
2017-10-29,56.0,prehlada
2017-11-05,48.0,prehlada
2017-11-12,39.0,prehlada
2017-11-19,48.0,prehlada
2017-11-26,65.0,prehlada
2017-12-03,51.0,prehlada
2017-12-10,60.0,prehlada
2017-12-17,58.0,prehlada
2017-12-24,52.0,prehlada
2017-12-31,72.0,prehlada
2018-01-07,61.0,prehlada
2018-01-14,61.0,prehlada
2018-01-21,57.0,prehlada
2018-01-28,82.0,prehlada
2018-02-04,62.0,prehlada
2018-02-11,75.0,prehlada
2018-02-18,66.0,prehlada
2018-02-25,68.0,prehlada
2018-03-04,40.0,prehlada
2018-03-11,49.0,prehlada
2018-03-18,55.0,prehlada
2018-03-25,38.0,prehlada
2018-04-01,56.0,prehlada
2018-04-08,31.0,prehlada
2018-04-15,0.0,prehlada
2018-04-22,18.0,prehlada
2018-04-29,26.0,prehlada
2018-05-06,27.0,prehlada
2018-05-13,23.0,prehlada
2018-05-20,30.0,prehlada
2018-05-27,19.0,prehlada
2018-06-03,0.0,prehlada
2018-06-10,26.0,prehlada
2018-06-17,17.0,prehlada
2018-06-24,33.0,prehlada
2018-07-01,21.0,prehlada
2018-07-08,0.0,prehlada
2018-07-15,19.084957131722526,prehlada
2018-07-22,28.627435697583792,prehlada
2018-07-29,32.09742790335152,prehlada
2018-08-05,39.037412314886986,prehlada
2018-08-12,24.289945440374126,prehlada
2018-08-19,28.627435697583792,prehlada
2018-08-26,43.37490257209665,prehlada
2018-09-02,35.567420109119254,prehlada
2018-09-09,62.45985970381918,prehlada
2018-09-16,52.04988308651598,prehlada
2018-09-23,86.7498051441933,prehlada
2018-09-30,64.19485580670305,prehlada
2018-10-07,57.254871395167584,prehlada
2018-10-14,58.989867498051446,prehlada
2018-10-21,58.989867498051446,prehlada
2018-10-28,36.43491816056119,prehlada
2018-11-04,46.84489477786438,prehlada
2018-11-11,31.22992985190959,prehlada
2018-11-18,46.84489477786438,prehlada
2018-11-25,62.45985970381918,prehlada
2018-12-02,51.18238503507405,prehlada
2018-12-09,60.724863600935315,prehlada
2018-12-16,58.989867498051446,prehlada
2018-12-23,55.519875292283714,prehlada
2018-12-30,52.04988308651598,prehlada
2019-01-06,80.67731878409977,prehlada
2019-01-13,58.989867498051446,prehlada
2019-01-20,62.45985970381918,prehlada
2019-01-27,65.92985190958692,prehlada
2019-02-03,72.86983632112238,prehlada
2019-02-10,62.45985970381918,prehlada
2019-02-17,59.85736554949338,prehlada
2019-02-24,45.97739672642245,prehlada
2019-03-03,43.37490257209665,prehlada
2019-03-10,50.314886983632114,prehlada
2019-03-17,32.09742790335152,prehlada
2019-03-24,40.772408417770855,prehlada
2019-03-31,35.567420109119254,prehlada
2019-04-07,26.02494154325799,prehlada
2019-04-14,35.567420109119254,prehlada
2019-04-21,30.362431800467657,prehlada
2019-04-28,35.567420109119254,prehlada
2019-05-05,46.84489477786438,prehlada
2019-05-12,38.16991426344505,prehlada
2019-05-19,35.567420109119254,prehlada
2019-05-26,20.819953234606395,prehlada
2019-06-02,0.0,prehlada
2019-06-09,27.759937646141857,prehlada
2019-06-16,31.22992985190959,prehlada
2019-06-23,23.42244738893219,prehlada
2019-06-30,20.819953234606395,prehlada
2019-07-07,22.55494933749026,prehlada
2019-07-14,23.42244738893219,prehlada
2019-07-21,21.687451286048326,prehlada
2019-07-28,18.217459080280594,prehlada
2019-08-04,26.892439594699923,prehlada
2019-08-11,26.892439594699923,prehlada
2019-08-18,22.55494933749026,prehlada
2019-08-25,32.96492595479346,prehlada
2019-09-01,29.494933749025723,prehlada
2019-09-08,40.772408417770855,prehlada
2019-09-15,69.39984411535464,prehlada
2019-09-22,63.32735775526111,prehlada
2019-09-29,55.519875292283714,prehlada
2019-10-06,64.19485580670305,prehlada
2019-10-13,40.772408417770855,prehlada
2019-10-20,64.19485580670305,prehlada
2019-10-27,44.242400623538586,prehlada
2019-11-03,44.242400623538586,prehlada
2019-11-10,46.84489477786438,prehlada
2019-11-17,48.57989088074825,prehlada
2019-11-24,52.04988308651598,prehlada
2019-12-01,66.79734996102884,prehlada
2019-12-08,66.79734996102884,prehlada
2019-12-15,57.254871395167584,prehlada
2019-12-22,65.06235385814497,prehlada
2019-12-29,52.91738113795792,prehlada
2020-01-05,65.06235385814497,prehlada
2020-01-12,67.66484801247077,prehlada
2020-01-19,63.32735775526111,prehlada
2020-01-26,63.32735775526111,prehlada
2020-02-02,66.79734996102884,prehlada
2020-02-09,61.59236165237724,prehlada
2020-02-16,38.16991426344505,prehlada
2020-02-23,39.90491036632892,prehlada
2020-03-01,38.16991426344505,prehlada
2020-03-08,60.724863600935315,prehlada
2020-03-15,59.85736554949338,prehlada
2020-03-22,58.12236944660951,prehlada
2020-03-29,44.242400623538586,prehlada
2020-04-05,28.627435697583792,prehlada
2020-04-12,26.02494154325799,prehlada
2020-04-19,16.48246297739673,prehlada
2020-04-26,0.0,prehlada
2020-05-03,23.42244738893219,prehlada
2020-05-10,0.0,prehlada
2020-05-17,17.34996102883866,prehlada
2020-05-24,13.012470771628996,prehlada
2020-05-31,18.217459080280594,prehlada
2020-06-07,16.48246297739673,prehlada
2020-06-14,23.42244738893219,prehlada
2020-06-21,47.71239282930632,prehlada
2020-06-28,45.10989867498052,prehlada
2020-07-05,37.30241621200312,prehlada
2020-07-12,51.18238503507405,prehlada
2020-07-19,32.96492595479346,prehlada
2020-07-26,19.95245518316446,prehlada
2020-08-02,16.48246297739673,prehlada
2020-08-09,22.55494933749026,prehlada
2020-08-16,26.892439594699923,prehlada
2020-08-23,22.55494933749026,prehlada
2020-08-30,30.362431800467657,prehlada
2020-09-06,42.50740452065472,prehlada
2020-09-13,53.784879189399845,prehlada
2020-09-20,55.519875292283714,prehlada
2020-09-27,55.519875292283714,prehlada
2020-10-04,35.567420109119254,prehlada
2020-10-11,62.45985970381918,prehlada
2020-10-18,52.91738113795792,prehlada
2020-10-25,54.65237724084178,prehlada
2020-11-01,68.53234606391271,prehlada
2020-11-08,63.32735775526111,prehlada
2020-11-15,68.53234606391271,prehlada
2020-11-22,58.989867498051446,prehlada
2020-11-29,63.32735775526111,prehlada
2020-12-06,49.44738893219019,prehlada
2020-12-13,39.037412314886986,prehlada
2020-12-20,39.037412314886986,prehlada
2020-12-27,48.57989088074825,prehlada
2021-01-03,29.485593258566055,prehlada
2021-01-10,31.123681772930833,prehlada
2021-01-17,33.580814544478,prehlada
2021-01-24,37.67603583038996,prehlada
2021-01-31,36.037947316025175,prehlada
2021-02-07,57.33309800276733,prehlada
2021-02-14,52.418832459672984,prehlada
2021-02-21,36.856991573207566,prehlada
2021-02-28,50.7807439453082,prehlada
2021-03-07,62.24736354586167,prehlada
2021-03-14,49.14265543094342,prehlada
2021-03-21,50.7807439453082,prehlada
2021-03-28,34.39985880166039,prehlada
2021-04-04,34.39985880166039,prehlada
2021-04-11,28.666549001383665,prehlada
2021-04-18,40.13316860193713,prehlada
2021-04-25,35.218903058842784,prehlada
2021-05-02,36.856991573207566,prehlada
2021-05-09,15.561840886465417,prehlada
2021-05-16,29.485593258566055,prehlada
2021-05-23,31.942726030113224,prehlada
2021-05-30,31.942726030113224,prehlada
2021-06-06,29.485593258566055,prehlada
2021-06-13,29.485593258566055,prehlada
2021-06-20,26.209416229836492,prehlada
2021-06-27,30.304637515748443,prehlada
2021-07-04,37.67603583038996,prehlada
2021-07-11,32.76177028729562,prehlada
2021-07-18,49.14265543094342,prehlada
2021-07-25,34.39985880166039,prehlada
2021-08-01,49.96169968812581,prehlada
2021-08-08,47.50456691657864,prehlada
2021-08-15,49.14265543094342,prehlada
2021-08-22,61.428319288679276,prehlada
2021-08-29,54.87596523122016,prehlada
2021-09-05,81.90442571823904,prehlada
2021-09-12,52.418832459672984,prehlada
2021-09-19,55.69500948840255,prehlada
2021-09-26,49.14265543094342,prehlada
2021-10-03,53.237876716855375,prehlada
2021-10-10,67.161629088956,prehlada
2021-10-17,54.87596523122016,prehlada
