date,trend_value,keyword
2012-12-30,45.0,recept za kolac
2013-01-06,37.0,recept za kolac
2013-01-13,49.0,recept za kolac
2013-01-20,50.0,recept za kolac
2013-01-27,39.0,recept za kolac
2013-02-03,40.0,recept za kolac
2013-02-10,32.0,recept za kolac
2013-02-17,54.0,recept za kolac
2013-02-24,52.0,recept za kolac
2013-03-03,32.0,recept za kolac
2013-03-10,37.0,recept za kolac
2013-03-17,34.0,recept za kolac
2013-03-24,44.0,recept za kolac
2013-03-31,32.0,recept za kolac
2013-04-07,43.0,recept za kolac
2013-04-14,0.0,recept za kolac
2013-04-21,0.0,recept za kolac
2013-04-28,66.0,recept za kolac
2013-05-05,0.0,recept za kolac
2013-05-12,0.0,recept za kolac
2013-05-19,47.0,recept za kolac
2013-05-26,0.0,recept za kolac
2013-06-02,31.0,recept za kolac
2013-06-09,0.0,recept za kolac
2013-06-16,41.0,recept za kolac
2013-06-23,32.0,recept za kolac
2013-06-30,32.0,recept za kolac
2013-07-07,0.0,recept za kolac
2013-07-14,49.0,recept za kolac
2013-07-21,35.0,recept za kolac
2013-07-28,53.0,recept za kolac
2013-08-04,0.0,recept za kolac
2013-08-11,0.0,recept za kolac
2013-08-18,40.0,recept za kolac
2013-08-25,42.0,recept za kolac
2013-09-01,0.0,recept za kolac
2013-09-08,33.0,recept za kolac
2013-09-15,0.0,recept za kolac
2013-09-22,0.0,recept za kolac
2013-09-29,61.0,recept za kolac
2013-10-06,37.0,recept za kolac
2013-10-13,43.0,recept za kolac
2013-10-20,61.0,recept za kolac
2013-10-27,54.0,recept za kolac
2013-11-03,42.0,recept za kolac
2013-11-10,61.0,recept za kolac
2013-11-17,63.0,recept za kolac
2013-11-24,46.0,recept za kolac
2013-12-01,46.0,recept za kolac
2013-12-08,66.0,recept za kolac
2013-12-15,71.0,recept za kolac
2013-12-22,33.0,recept za kolac
2013-12-29,63.0,recept za kolac
2014-01-05,53.0,recept za kolac
2014-01-12,38.0,recept za kolac
2014-01-19,42.0,recept za kolac
2014-01-26,56.0,recept za kolac
