date,trend_value,keyword
2012-12-30,0.0,sirup za kasalj
2013-01-06,0.0,sirup za kasalj
2013-01-13,0.0,sirup za kasalj
2013-01-20,54.0,sirup za kasalj
2013-01-27,75.0,sirup za kasalj
2013-02-03,56.0,sirup za kasalj
2013-02-10,0.0,sirup za kasalj
2013-02-17,66.0,sirup za kasalj
2013-02-24,56.0,sirup za kasalj
2013-03-03,0.0,sirup za kasalj
2013-03-10,72.0,sirup za kasalj
2013-03-17,0.0,sirup za kasalj
2013-03-24,0.0,sirup za kasalj
2013-03-31,0.0,sirup za kasalj
2013-04-07,0.0,sirup za kasalj
2013-04-14,0.0,sirup za kasalj
2013-04-21,0.0,sirup za kasalj
2013-04-28,0.0,sirup za kasalj
2013-05-05,0.0,sirup za kasalj
2013-05-12,0.0,sirup za kasalj
2013-05-19,0.0,sirup za kasalj
2013-05-26,0.0,sirup za kasalj
2013-06-02,0.0,sirup za kasalj
2013-06-09,0.0,sirup za kasalj
2013-06-16,0.0,sirup za kasalj
2013-06-23,0.0,sirup za kasalj
2013-06-30,0.0,sirup za kasalj
2013-07-07,0.0,sirup za kasalj
2013-07-14,59.0,sirup za kasalj
2013-07-21,0.0,sirup za kasalj
2013-07-28,62.0,sirup za kasalj
2013-08-04,0.0,sirup za kasalj
2013-08-11,0.0,sirup za kasalj
2013-08-18,0.0,sirup za kasalj
2013-08-25,0.0,sirup za kasalj
2013-09-01,0.0,sirup za kasalj
2013-09-08,0.0,sirup za kasalj
2013-09-15,0.0,sirup za kasalj
2013-09-22,0.0,sirup za kasalj
2013-09-29,0.0,sirup za kasalj
2013-10-06,0.0,sirup za kasalj
2013-10-13,0.0,sirup za kasalj
2013-10-20,0.0,sirup za kasalj
2013-10-27,0.0,sirup za kasalj
2013-11-03,65.0,sirup za kasalj
2013-11-10,0.0,sirup za kasalj
2013-11-17,0.0,sirup za kasalj
2013-11-24,0.0,sirup za kasalj
2013-12-01,0.0,sirup za kasalj
2013-12-08,0.0,sirup za kasalj
2013-12-15,0.0,sirup za kasalj
2013-12-22,0.0,sirup za kasalj
2013-12-29,0.0,sirup za kasalj
2014-01-05,0.0,sirup za kasalj
2014-01-12,46.0,sirup za kasalj
2014-01-19,47.0,sirup za kasalj
2014-01-26,0.0,sirup za kasalj
2014-02-02,0.0,sirup za kasalj
2014-02-09,0.0,sirup za kasalj
2014-02-16,50.0,sirup za kasalj
2014-02-23,47.0,sirup za kasalj
2014-03-02,67.0,sirup za kasalj
2014-03-09,0.0,sirup za kasalj
2014-03-16,0.0,sirup za kasalj
2014-03-23,0.0,sirup za kasalj
2014-03-30,66.0,sirup za kasalj
2014-04-06,0.0,sirup za kasalj
2014-04-13,0.0,sirup za kasalj
2014-04-20,0.0,sirup za kasalj
2014-04-27,0.0,sirup za kasalj
2014-05-04,0.0,sirup za kasalj
2014-05-11,0.0,sirup za kasalj
2014-05-18,0.0,sirup za kasalj
2014-05-25,0.0,sirup za kasalj
2014-06-01,0.0,sirup za kasalj
2014-06-08,0.0,sirup za kasalj
2014-06-15,0.0,sirup za kasalj
2014-06-22,0.0,sirup za kasalj
2014-06-29,0.0,sirup za kasalj
2014-07-06,0.0,sirup za kasalj
2014-07-13,0.0,sirup za kasalj
2014-07-20,0.0,sirup za kasalj
2014-07-27,0.0,sirup za kasalj
2014-08-03,0.0,sirup za kasalj
2014-08-10,0.0,sirup za kasalj
2014-08-17,0.0,sirup za kasalj
2014-08-24,0.0,sirup za kasalj
2014-08-31,0.0,sirup za kasalj
2014-09-07,0.0,sirup za kasalj
2014-09-14,0.0,sirup za kasalj
2014-09-21,0.0,sirup za kasalj
2014-09-28,0.0,sirup za kasalj
2014-10-05,85.0,sirup za kasalj
2014-10-12,0.0,sirup za kasalj
2014-10-19,67.0,sirup za kasalj
2014-10-26,0.0,sirup za kasalj
2014-11-02,66.0,sirup za kasalj
2014-11-09,81.0,sirup za kasalj
2014-11-16,64.0,sirup za kasalj
2014-11-23,63.0,sirup za kasalj
2014-11-30,65.0,sirup za kasalj
2014-12-07,57.0,sirup za kasalj
2014-12-14,50.0,sirup za kasalj
2014-12-21,77.0,sirup za kasalj
2014-12-28,74.0,sirup za kasalj
2015-01-04,64.0,sirup za kasalj
2015-01-11,100.0,sirup za kasalj
2015-01-18,49.0,sirup za kasalj
2015-01-25,59.0,sirup za kasalj
2015-02-01,56.0,sirup za kasalj
2015-02-08,65.0,sirup za kasalj
2015-02-15,82.0,sirup za kasalj
2015-02-22,69.0,sirup za kasalj
2015-03-01,0.0,sirup za kasalj
2015-03-08,69.0,sirup za kasalj
2015-03-15,0.0,sirup za kasalj
2015-03-22,0.0,sirup za kasalj
2015-03-29,0.0,sirup za kasalj
2015-04-05,0.0,sirup za kasalj
2015-04-12,0.0,sirup za kasalj
2015-04-19,0.0,sirup za kasalj
2015-04-26,0.0,sirup za kasalj
2015-05-03,0.0,sirup za kasalj
2015-05-10,0.0,sirup za kasalj
2015-05-17,0.0,sirup za kasalj
2015-05-24,0.0,sirup za kasalj
2015-05-31,58.0,sirup za kasalj
2015-06-07,0.0,sirup za kasalj
2015-06-14,0.0,sirup za kasalj
2015-06-21,49.0,sirup za kasalj
2015-06-28,0.0,sirup za kasalj
2015-07-05,0.0,sirup za kasalj
2015-07-12,0.0,sirup za kasalj
2015-07-19,0.0,sirup za kasalj
2015-07-26,0.0,sirup za kasalj
2015-08-02,0.0,sirup za kasalj
2015-08-09,0.0,sirup za kasalj
2015-08-16,0.0,sirup za kasalj
2015-08-23,0.0,sirup za kasalj
2015-08-30,0.0,sirup za kasalj
2015-09-06,0.0,sirup za kasalj
2015-09-13,0.0,sirup za kasalj
2015-09-20,57.0,sirup za kasalj
2015-09-27,0.0,sirup za kasalj
2015-10-04,0.0,sirup za kasalj
2015-10-11,61.0,sirup za kasalj
2015-10-18,66.0,sirup za kasalj
2015-10-25,69.0,sirup za kasalj
2015-11-01,65.0,sirup za kasalj
2015-11-08,56.0,sirup za kasalj
2015-11-15,69.0,sirup za kasalj
2015-11-22,79.0,sirup za kasalj
2015-11-29,75.0,sirup za kasalj
2015-12-06,79.0,sirup za kasalj
2015-12-13,93.0,sirup za kasalj
2015-12-20,57.0,sirup za kasalj
2015-12-27,76.0,sirup za kasalj
2016-01-03,44.83101391650099,sirup za kasalj
2016-01-10,44.83101391650099,sirup za kasalj
2016-01-17,0.0,sirup za kasalj
2016-01-24,0.0,sirup za kasalj
2016-01-31,57.38369781312127,sirup za kasalj
2016-02-07,50.210735586481114,sirup za kasalj
2016-02-14,52.00397614314115,sirup za kasalj
2016-02-21,71.72962226640159,sirup za kasalj
2016-02-28,48.417495029821076,sirup za kasalj
2016-03-06,41.24453280318092,sirup za kasalj
2016-03-13,53.7972166998012,sirup za kasalj
2016-03-20,0.0,sirup za kasalj
2016-03-27,78.90258449304176,sirup za kasalj
2016-04-03,62.763419483101394,sirup za kasalj
2016-04-10,55.590457256461235,sirup za kasalj
2016-04-17,0.0,sirup za kasalj
2016-04-24,0.0,sirup za kasalj
2016-05-01,0.0,sirup za kasalj
2016-05-08,0.0,sirup za kasalj
2016-05-15,66.34990059642148,sirup za kasalj
2016-05-22,0.0,sirup za kasalj
2016-05-29,0.0,sirup za kasalj
2016-06-05,0.0,sirup za kasalj
2016-06-12,0.0,sirup za kasalj
2016-06-19,0.0,sirup za kasalj
2016-06-26,0.0,sirup za kasalj
2016-07-03,0.0,sirup za kasalj
2016-07-10,0.0,sirup za kasalj
2016-07-17,0.0,sirup za kasalj
2016-07-24,0.0,sirup za kasalj
2016-07-31,0.0,sirup za kasalj
2016-08-07,0.0,sirup za kasalj
2016-08-14,0.0,sirup za kasalj
2016-08-21,0.0,sirup za kasalj
2016-08-28,0.0,sirup za kasalj
2016-09-04,0.0,sirup za kasalj
2016-09-11,0.0,sirup za kasalj
2016-09-18,0.0,sirup za kasalj
2016-09-25,0.0,sirup za kasalj
2016-10-02,0.0,sirup za kasalj
2016-10-09,78.90258449304176,sirup za kasalj
2016-10-16,68.14314115308152,sirup za kasalj
2016-10-23,95.04174950298211,sirup za kasalj
2016-10-30,77.1093439363817,sirup za kasalj
2016-11-06,0.0,sirup za kasalj
2016-11-13,53.7972166998012,sirup za kasalj
2016-11-20,86.07554671968191,sirup za kasalj
2016-11-27,0.0,sirup za kasalj
2016-12-04,69.93638170974155,sirup za kasalj
2016-12-11,84.28230616302187,sirup za kasalj
2016-12-18,175.7375745526839,sirup za kasalj
2016-12-25,154.2186878727634,sirup za kasalj
2017-01-01,163.18489065606363,sirup za kasalj
2017-01-08,116.56063618290258,sirup za kasalj
2017-01-15,44.83101391650099,sirup za kasalj
2017-01-22,82.48906560636183,sirup za kasalj
2017-01-29,69.93638170974155,sirup za kasalj
2017-02-05,43.037773359840955,sirup za kasalj
2017-02-12,87.86878727634195,sirup za kasalj
2017-02-19,77.1093439363817,sirup za kasalj
2017-02-26,73.52286282306163,sirup za kasalj
2017-03-05,50.210735586481114,sirup za kasalj
2017-03-12,48.417495029821076,sirup za kasalj
2017-03-19,71.72962226640159,sirup za kasalj
2017-03-26,77.1093439363817,sirup za kasalj
2017-04-02,73.52286282306163,sirup za kasalj
2017-04-09,50.210735586481114,sirup za kasalj
2017-04-16,77.1093439363817,sirup za kasalj
2017-04-23,0.0,sirup za kasalj
2017-04-30,0.0,sirup za kasalj
2017-05-07,48.417495029821076,sirup za kasalj
2017-05-14,68.14314115308152,sirup za kasalj
2017-05-21,0.0,sirup za kasalj
2017-05-28,0.0,sirup za kasalj
2017-06-04,62.763419483101394,sirup za kasalj
2017-06-11,0.0,sirup za kasalj
2017-06-18,0.0,sirup za kasalj
2017-06-25,0.0,sirup za kasalj
2017-07-02,0.0,sirup za kasalj
2017-07-09,0.0,sirup za kasalj
2017-07-16,0.0,sirup za kasalj
2017-07-23,0.0,sirup za kasalj
2017-07-30,0.0,sirup za kasalj
2017-08-06,0.0,sirup za kasalj
2017-08-13,0.0,sirup za kasalj
2017-08-20,0.0,sirup za kasalj
2017-08-27,0.0,sirup za kasalj
2017-09-03,0.0,sirup za kasalj
2017-09-10,55.590457256461235,sirup za kasalj
2017-09-17,57.38369781312127,sirup za kasalj
2017-09-24,0.0,sirup za kasalj
2017-10-01,80.6958250497018,sirup za kasalj
2017-10-08,96.83499005964215,sirup za kasalj
2017-10-15,82.48906560636183,sirup za kasalj
2017-10-22,112.97415506958251,sirup za kasalj
2017-10-29,77.1093439363817,sirup za kasalj
2017-11-05,95.04174950298211,sirup za kasalj
2017-11-12,60.97017892644135,sirup za kasalj
2017-11-19,78.90258449304176,sirup za kasalj
2017-11-26,105.80119284294234,sirup za kasalj
2017-12-03,55.590457256461235,sirup za kasalj
2017-12-10,69.93638170974155,sirup za kasalj
2017-12-17,78.90258449304176,sirup za kasalj
2017-12-24,89.66202783300199,sirup za kasalj
2017-12-31,105.80119284294234,sirup za kasalj
2018-01-07,84.28230616302187,sirup za kasalj
2018-01-14,77.1093439363817,sirup za kasalj
2018-01-21,129.11332007952285,sirup za kasalj
2018-01-28,152.42544731610337,sirup za kasalj
2018-02-04,179.32405566600397,sirup za kasalj
2018-02-11,156.01192842942345,sirup za kasalj
2018-02-18,118.35387673956262,sirup za kasalj
2018-02-25,89.66202783300199,sirup za kasalj
2018-03-04,86.07554671968191,sirup za kasalj
2018-03-11,102.21471172962227,sirup za kasalj
2018-03-18,116.56063618290258,sirup za kasalj
2018-03-25,46.62425447316103,sirup za kasalj
2018-04-01,86.07554671968191,sirup za kasalj
2018-04-08,69.93638170974155,sirup za kasalj
2018-04-15,50.210735586481114,sirup za kasalj
2018-04-22,0.0,sirup za kasalj
2018-04-29,0.0,sirup za kasalj
2018-05-06,52.00397614314115,sirup za kasalj
2018-05-13,0.0,sirup za kasalj
2018-05-20,0.0,sirup za kasalj
2018-05-27,0.0,sirup za kasalj
2018-06-03,0.0,sirup za kasalj
2018-06-10,0.0,sirup za kasalj
2018-06-17,0.0,sirup za kasalj
2018-06-24,0.0,sirup za kasalj
2018-07-01,0.0,sirup za kasalj
2018-07-08,0.0,sirup za kasalj
2018-07-15,0.0,sirup za kasalj
2018-07-22,60.06301017424863,sirup za kasalj
2018-07-29,0.0,sirup za kasalj
2018-08-05,0.0,sirup za kasalj
2018-08-12,0.0,sirup za kasalj
2018-08-19,50.052508478540524,sirup za kasalj
2018-08-26,0.0,sirup za kasalj
2018-09-02,0.0,sirup za kasalj
2018-09-09,0.0,sirup za kasalj
2018-09-16,86.09031458308971,sirup za kasalj
2018-09-23,68.07141153081511,sirup za kasalj
2018-09-30,92.09661560051457,sirup za kasalj
2018-10-07,124.1302210267805,sirup za kasalj
2018-10-14,140.14702373991346,sirup za kasalj
2018-10-21,120.12602034849726,sirup za kasalj
2018-10-28,84.08821424394809,sirup za kasalj
2018-11-04,98.10291661793943,sirup za kasalj
2018-11-11,122.12812068763888,sirup za kasalj
2018-11-18,94.09871593965619,sirup za kasalj
2018-11-25,146.15332475733834,sirup za kasalj
2018-12-02,128.13442170506374,sirup za kasalj
2018-12-09,98.10291661793943,sirup za kasalj
2018-12-16,124.1302210267805,sirup za kasalj
2018-12-23,132.13862238334698,sirup za kasalj
2018-12-30,130.13652204420538,sirup za kasalj
2019-01-06,118.12392000935564,sirup za kasalj
2019-01-13,92.09661560051457,sirup za kasalj
2019-01-20,144.1512244181967,sirup za kasalj
2019-01-27,128.13442170506374,sirup za kasalj
2019-02-03,172.18062916617941,sirup za kasalj
2019-02-10,156.16382645304643,sirup za kasalj
2019-02-17,130.13652204420538,sirup za kasalj
2019-02-24,76.07981288738159,sirup za kasalj
2019-03-03,118.12392000935564,sirup za kasalj
2019-03-10,48.050408139398904,sirup za kasalj
