date,trend_value,keyword
2012-12-30,26.0,tenis
2013-01-06,19.0,tenis
2013-01-13,42.0,tenis
2013-01-20,66.0,tenis
2013-01-27,39.0,tenis
2013-02-03,20.0,tenis
2013-02-10,22.0,tenis
2013-02-17,21.0,tenis
2013-02-24,37.0,tenis
2013-03-03,23.0,tenis
2013-03-10,46.0,tenis
2013-03-17,28.0,tenis
2013-03-24,35.0,tenis
2013-03-31,28.0,tenis
2013-04-07,26.0,tenis
2013-04-14,40.0,tenis
2013-04-21,35.0,tenis
2013-04-28,20.0,tenis
2013-05-05,40.0,tenis
2013-05-12,49.0,tenis
2013-05-19,24.0,tenis
2013-05-26,61.0,tenis
2013-06-02,71.0,tenis
2013-06-09,28.0,tenis
2013-06-16,21.0,tenis
2013-06-23,47.0,tenis
2013-06-30,58.0,tenis
2013-07-07,29.0,tenis
2013-07-14,19.0,tenis
2013-07-21,20.0,tenis
2013-07-28,20.0,tenis
2013-08-04,31.0,tenis
2013-08-11,49.0,tenis
2013-08-18,23.0,tenis
2013-08-25,38.0,tenis
2013-09-01,56.0,tenis
2013-09-08,35.0,tenis
2013-09-15,22.0,tenis
2013-09-22,17.0,tenis
2013-09-29,39.0,tenis
2013-10-06,60.0,tenis
2013-10-13,30.0,tenis
2013-10-20,29.0,tenis
2013-10-27,47.0,tenis
2013-11-03,46.0,tenis
2013-11-10,35.0,tenis
2013-11-17,22.0,tenis
2013-11-24,13.0,tenis
2013-12-01,12.0,tenis
2013-12-08,11.0,tenis
2013-12-15,11.0,tenis
2013-12-22,15.0,tenis
2013-12-29,20.0,tenis
2014-01-05,17.0,tenis
2014-01-12,44.0,tenis
2014-01-19,56.0,tenis
2014-01-26,23.0,tenis
2014-02-02,16.0,tenis
2014-02-09,21.0,tenis
2014-02-16,22.0,tenis
2014-02-23,31.0,tenis
2014-03-02,21.0,tenis
2014-03-09,41.0,tenis
2014-03-16,31.0,tenis
2014-03-23,51.0,tenis
2014-03-30,28.0,tenis
2014-04-06,20.0,tenis
2014-04-13,40.0,tenis
2014-04-20,28.0,tenis
2014-04-27,20.0,tenis
2014-05-04,29.0,tenis
2014-05-11,53.0,tenis
2014-05-18,25.0,tenis
2014-05-25,57.0,tenis
2014-06-01,70.0,tenis
2014-06-08,32.0,tenis
2014-06-15,21.0,tenis
2014-06-22,46.0,tenis
2014-06-29,55.0,tenis
2014-07-06,25.0,tenis
2014-07-13,19.0,tenis
2014-07-20,22.0,tenis
2014-07-27,21.0,tenis
2014-08-03,33.0,tenis
2014-08-10,38.0,tenis
2014-08-17,24.0,tenis
2014-08-24,37.0,tenis
2014-08-31,55.0,tenis
2014-09-07,26.0,tenis
2014-09-14,22.0,tenis
2014-09-21,21.0,tenis
2014-09-28,41.0,tenis
2014-10-05,47.0,tenis
2014-10-12,20.0,tenis
2014-10-19,29.0,tenis
2014-10-26,38.0,tenis
2014-11-02,18.0,tenis
2014-11-09,40.0,tenis
2014-11-16,24.0,tenis
2014-11-23,11.0,tenis
2014-11-30,11.0,tenis
2014-12-07,12.0,tenis
2014-12-14,10.0,tenis
2014-12-21,8.0,tenis
2014-12-28,14.0,tenis
2015-01-04,27.0,tenis
2015-01-11,19.0,tenis
2015-01-18,39.0,tenis
2015-01-25,68.0,tenis
2015-02-01,29.0,tenis
2015-02-08,18.0,tenis
2015-02-15,22.0,tenis
2015-02-22,47.0,tenis
2015-03-01,23.0,tenis
2015-03-08,25.0,tenis
2015-03-15,41.0,tenis
2015-03-22,46.0,tenis
2015-03-29,44.0,tenis
2015-04-05,29.0,tenis
2015-04-12,49.0,tenis
2015-04-19,31.0,tenis
2015-04-26,23.0,tenis
2015-05-03,32.0,tenis
2015-05-10,56.0,tenis
2015-05-17,30.0,tenis
2015-05-24,61.0,tenis
2015-05-31,100.0,tenis
2015-06-07,36.0,tenis
2015-06-14,28.0,tenis
2015-06-21,20.0,tenis
2015-06-28,53.0,tenis
2015-07-05,73.0,tenis
2015-07-12,33.0,tenis
2015-07-19,17.0,tenis
2015-07-26,17.0,tenis
2015-08-02,17.0,tenis
2015-08-09,44.0,tenis
2015-08-16,59.0,tenis
2015-08-23,25.0,tenis
2015-08-30,47.0,tenis
2015-09-06,52.0,tenis
2015-09-13,30.0,tenis
2015-09-20,16.0,tenis
2015-09-27,16.0,tenis
2015-10-04,38.0,tenis
2015-10-11,56.0,tenis
2015-10-18,28.0,tenis
2015-10-25,20.0,tenis
2015-11-01,49.0,tenis
2015-11-08,21.0,tenis
2015-11-15,48.0,tenis
2015-11-22,21.0,tenis
2015-11-29,10.0,tenis
2015-12-06,9.0,tenis
2015-12-13,10.0,tenis
2015-12-20,10.0,tenis
2015-12-27,11.0,tenis
2016-01-03,35.603217158176946,tenis
2016-01-10,20.026809651474533,tenis
2016-01-17,52.29222520107239,tenis
2016-01-24,85.67024128686327,tenis
2016-01-31,30.040214477211798,tenis
2016-02-07,21.13941018766756,tenis
2016-02-14,24.47721179624665,tenis
2016-02-21,37.828418230563,tenis
2016-02-28,20.026809651474533,tenis
2016-03-06,30.040214477211798,tenis
2016-03-13,52.29222520107239,tenis
2016-03-20,43.39142091152815,tenis
2016-03-27,62.30563002680965,tenis
2016-04-03,25.58981233243968,tenis
2016-04-10,38.94101876675604,tenis
2016-04-17,24.47721179624665,tenis
2016-04-24,18.9142091152815,tenis
2016-05-01,52.29222520107239,tenis
2016-05-08,81.21983914209116,tenis
2016-05-15,32.265415549597854,tenis
2016-05-22,81.21983914209116,tenis
2016-05-29,111.26005361930295,tenis
2016-06-05,42.27882037533512,tenis
2016-06-12,30.040214477211798,tenis
2016-06-19,21.13941018766756,tenis
2016-06-26,67.86863270777481,tenis
2016-07-03,38.94101876675604,tenis
2016-07-10,22.252010723860593,tenis
2016-07-17,18.9142091152815,tenis
2016-07-24,33.37801608579089,tenis
2016-07-31,30.040214477211798,tenis
2016-08-07,40.053619302949066,tenis
2016-08-14,28.92761394101877,tenis
2016-08-21,17.801608579088473,tenis
2016-08-28,51.17962466487936,tenis
2016-09-04,66.75603217158178,tenis
2016-09-11,28.92761394101877,tenis
2016-09-18,16.689008042895445,tenis
2016-09-25,20.026809651474533,tenis
2016-10-02,21.13941018766756,tenis
2016-10-09,56.74262734584451,tenis
2016-10-16,20.026809651474533,tenis
2016-10-23,23.36461126005362,tenis
2016-10-30,64.53083109919571,tenis
2016-11-06,20.026809651474533,tenis
2016-11-13,76.76943699731903,tenis
2016-11-20,26.70241286863271,tenis
2016-11-27,15.576407506702413,tenis
2016-12-04,11.126005361930297,tenis
2016-12-11,10.013404825737267,tenis
2016-12-18,8.900804289544237,tenis
2016-12-25,10.013404825737267,tenis
2017-01-01,62.30563002680965,tenis
2017-01-08,21.13941018766756,tenis
2017-01-15,70.09383378016086,tenis
2017-01-22,57.85522788203754,tenis
2017-01-29,33.37801608579089,tenis
2017-02-05,22.252010723860593,tenis
2017-02-12,16.689008042895445,tenis
2017-02-19,16.689008042895445,tenis
2017-02-26,34.49061662198392,tenis
2017-03-05,22.252010723860593,tenis
2017-03-12,57.85522788203754,tenis
2017-03-19,25.58981233243968,tenis
2017-03-26,31.152815013404826,tenis
2017-04-02,21.13941018766756,tenis
2017-04-09,17.801608579088473,tenis
2017-04-16,54.51742627345845,tenis
2017-04-23,24.47721179624665,tenis
2017-04-30,22.252010723860593,tenis
2017-05-07,56.74262734584451,tenis
2017-05-14,75.656836461126,tenis
2017-05-21,30.040214477211798,tenis
2017-05-28,78.9946380697051,tenis
2017-06-04,89.00804289544237,tenis
2017-06-11,22.252010723860593,tenis
2017-06-18,21.13941018766756,tenis
2017-06-25,45.616621983914214,tenis
2017-07-02,67.86863270777481,tenis
2017-07-09,83.44504021447722,tenis
2017-07-16,20.026809651474533,tenis
2017-07-23,14.463806970509385,tenis
2017-07-30,15.576407506702413,tenis
2017-08-06,20.026809651474533,tenis
2017-08-13,23.36461126005362,tenis
2017-08-20,17.801608579088473,tenis
2017-08-27,33.37801608579089,tenis
2017-09-03,31.152815013404826,tenis
2017-09-10,18.9142091152815,tenis
2017-09-17,16.689008042895445,tenis
2017-09-24,13.351206434316355,tenis
2017-10-01,15.576407506702413,tenis
2017-10-08,22.252010723860593,tenis
2017-10-15,15.576407506702413,tenis
2017-10-22,15.576407506702413,tenis
2017-10-29,24.47721179624665,tenis
2017-11-05,18.9142091152815,tenis
2017-11-12,22.252010723860593,tenis
2017-11-19,12.238605898123325,tenis
2017-11-26,8.900804289544237,tenis
2017-12-03,7.7882037533512065,tenis
2017-12-10,8.900804289544237,tenis
2017-12-17,7.7882037533512065,tenis
2017-12-24,12.238605898123325,tenis
2017-12-31,14.463806970509385,tenis
2018-01-07,16.689008042895445,tenis
2018-01-14,61.193029490616624,tenis
2018-01-21,66.75603217158178,tenis
2018-01-28,21.13941018766756,tenis
2018-02-04,15.576407506702413,tenis
2018-02-11,17.801608579088473,tenis
2018-02-18,16.689008042895445,tenis
2018-02-25,17.801608579088473,tenis
2018-03-04,20.026809651474533,tenis
2018-03-11,28.92761394101877,tenis
2018-03-18,32.265415549597854,tenis
2018-03-25,32.265415549597854,tenis
2018-04-01,16.689008042895445,tenis
2018-04-08,15.576407506702413,tenis
