date,trend_value,keyword
2012-12-30,39.0,vitamin c
2013-01-06,46.0,vitamin c
2013-01-13,27.0,vitamin c
2013-01-20,45.0,vitamin c
2013-01-27,34.0,vitamin c
2013-02-03,0.0,vitamin c
2013-02-10,45.0,vitamin c
2013-02-17,41.0,vitamin c
2013-02-24,58.0,vitamin c
2013-03-03,32.0,vitamin c
2013-03-10,36.0,vitamin c
2013-03-17,66.0,vitamin c
2013-03-24,45.0,vitamin c
2013-03-31,38.0,vitamin c
2013-04-07,49.0,vitamin c
2013-04-14,83.0,vitamin c
2013-04-21,56.0,vitamin c
2013-04-28,31.0,vitamin c
2013-05-05,30.0,vitamin c
2013-05-12,61.0,vitamin c
2013-05-19,38.0,vitamin c
2013-05-26,40.0,vitamin c
2013-06-02,43.0,vitamin c
2013-06-09,0.0,vitamin c
2013-06-16,34.0,vitamin c
2013-06-23,40.0,vitamin c
2013-06-30,27.0,vitamin c
2013-07-07,0.0,vitamin c
2013-07-14,29.0,vitamin c
2013-07-21,44.0,vitamin c
2013-07-28,58.0,vitamin c
2013-08-04,42.0,vitamin c
2013-08-11,45.0,vitamin c
2013-08-18,49.0,vitamin c
2013-08-25,40.0,vitamin c
2013-09-01,52.0,vitamin c
2013-09-08,51.0,vitamin c
2013-09-15,42.0,vitamin c
2013-09-22,42.0,vitamin c
2013-09-29,41.0,vitamin c
2013-10-06,37.0,vitamin c
2013-10-13,37.0,vitamin c
2013-10-20,53.0,vitamin c
2013-10-27,35.0,vitamin c
2013-11-03,38.0,vitamin c
2013-11-10,61.0,vitamin c
2013-11-17,47.0,vitamin c
2013-11-24,72.0,vitamin c
2013-12-01,57.0,vitamin c
2013-12-08,59.0,vitamin c
2013-12-15,57.0,vitamin c
2013-12-22,43.0,vitamin c
2013-12-29,34.0,vitamin c
2014-01-05,35.0,vitamin c
2014-01-12,52.0,vitamin c
2014-01-19,57.0,vitamin c
2014-01-26,51.0,vitamin c
2014-02-02,59.0,vitamin c
2014-02-09,76.0,vitamin c
2014-02-16,42.0,vitamin c
