date,trend_value,keyword
2012-12-30,13.0,vreme sutra
2013-01-06,15.0,vreme sutra
2013-01-13,32.0,vreme sutra
2013-01-20,25.0,vreme sutra
2013-01-27,16.0,vreme sutra
2013-02-03,23.0,vreme sutra
2013-02-10,27.0,vreme sutra
2013-02-17,16.0,vreme sutra
2013-02-24,23.0,vreme sutra
2013-03-03,22.0,vreme sutra
2013-03-10,40.0,vreme sutra
2013-03-17,47.0,vreme sutra
2013-03-24,42.0,vreme sutra
2013-03-31,40.0,vreme sutra
2013-04-07,46.0,vreme sutra
2013-04-14,21.0,vreme sutra
2013-04-21,24.0,vreme sutra
2013-04-28,25.0,vreme sutra
2013-05-05,53.0,vreme sutra
2013-05-12,52.0,vreme sutra
2013-05-19,77.0,vreme sutra
2013-05-26,72.0,vreme sutra
2013-06-02,68.0,vreme sutra
2013-06-09,71.0,vreme sutra
2013-06-16,39.0,vreme sutra
2013-06-23,72.0,vreme sutra
2013-06-30,40.0,vreme sutra
2013-07-07,35.0,vreme sutra
2013-07-14,28.0,vreme sutra
2013-07-21,15.0,vreme sutra
2013-07-28,23.0,vreme sutra
2013-08-04,27.0,vreme sutra
2013-08-11,26.0,vreme sutra
2013-08-18,29.0,vreme sutra
2013-08-25,28.0,vreme sutra
2013-09-01,40.0,vreme sutra
2013-09-08,45.0,vreme sutra
2013-09-15,42.0,vreme sutra
2013-09-22,41.0,vreme sutra
2013-09-29,40.0,vreme sutra
2013-10-06,35.0,vreme sutra
2013-10-13,44.0,vreme sutra
2013-10-20,26.0,vreme sutra
2013-10-27,20.0,vreme sutra
2013-11-03,32.0,vreme sutra
2013-11-10,36.0,vreme sutra
2013-11-17,30.0,vreme sutra
2013-11-24,30.0,vreme sutra
2013-12-01,20.0,vreme sutra
2013-12-08,14.0,vreme sutra
2013-12-15,12.0,vreme sutra
2013-12-22,18.0,vreme sutra
2013-12-29,13.0,vreme sutra
2014-01-05,15.0,vreme sutra
2014-01-12,23.0,vreme sutra
2014-01-19,23.0,vreme sutra
2014-01-26,38.0,vreme sutra
2014-02-02,23.0,vreme sutra
2014-02-09,33.0,vreme sutra
2014-02-16,28.0,vreme sutra
2014-02-23,30.0,vreme sutra
2014-03-02,35.0,vreme sutra
2014-03-09,24.0,vreme sutra
2014-03-16,32.0,vreme sutra
2014-03-23,42.0,vreme sutra
2014-03-30,42.0,vreme sutra
2014-04-06,60.0,vreme sutra
2014-04-13,56.0,vreme sutra
2014-04-20,64.0,vreme sutra
2014-04-27,63.0,vreme sutra
2014-05-04,38.0,vreme sutra
2014-05-11,79.0,vreme sutra
2014-05-18,49.0,vreme sutra
2014-05-25,58.0,vreme sutra
2014-06-01,39.0,vreme sutra
2014-06-08,33.0,vreme sutra
2014-06-15,59.0,vreme sutra
2014-06-22,60.0,vreme sutra
2014-06-29,62.0,vreme sutra
2014-07-06,67.0,vreme sutra
2014-07-13,48.0,vreme sutra
2014-07-20,59.0,vreme sutra
2014-07-27,80.0,vreme sutra
2014-08-03,59.0,vreme sutra
2014-08-10,46.0,vreme sutra
2014-08-17,52.0,vreme sutra
2014-08-24,49.0,vreme sutra
2014-08-31,78.0,vreme sutra
2014-09-07,76.0,vreme sutra
2014-09-14,54.0,vreme sutra
2014-09-21,70.0,vreme sutra
2014-09-28,41.0,vreme sutra
2014-10-05,35.0,vreme sutra
2014-10-12,47.0,vreme sutra
2014-10-19,60.0,vreme sutra
2014-10-26,30.0,vreme sutra
2014-11-02,33.0,vreme sutra
2014-11-09,34.0,vreme sutra
2014-11-16,27.0,vreme sutra
2014-11-23,32.0,vreme sutra
2014-11-30,35.0,vreme sutra
2014-12-07,28.0,vreme sutra
2014-12-14,23.0,vreme sutra
2014-12-21,34.0,vreme sutra
2014-12-28,38.0,vreme sutra
2015-01-04,36.0,vreme sutra
2015-01-11,28.0,vreme sutra
2015-01-18,31.0,vreme sutra
2015-01-25,30.0,vreme sutra
