keyword,r,p_value,n
grip,0.7133719994853043,8.955648475951529e-39,241
simptomi gripa,0.6909390845435603,2.7309891964290313e-29,197
virus gripa,0.6774212423133781,1.0139996020608657e-33,241
bronhitis,0.36315500213571444,6.327518910470867e-09,241
kasalj,0.3543761164986426,1.536287188689961e-08,241
prehlada,0.3063538234114678,1.2456147168007856e-06,241
sirup za kasalj,0.28097333715801104,9.478405541041927e-06,241
malaksalost,0.25152949005054015,7.875798565565106e-05,241
bol u grlu,0.23469785985656524,0.00023689599308622509,241
caj za grip,0.21389926554059357,0.0010438058884429551,232
povisena temperatura,0.19867198140437603,0.0019408664706952751,241
bol u misicima,0.1781719979131766,0.005540205816352899,241
vakcina protiv gripa,0.09791461598037503,0.12957367200953238,241
lek za prehladu,0.08316203457467189,0.19825487045789014,241
curenje nosa,0.038629457976638526,0.5506439976243828,241
lek za grip,-0.05503091611444823,0.4786385956056764,168
simptomi prehlade,-0.05824541043780296,0.42473266217056804,190
