keyword,mean,median,std_dev,observations
bol u grlu,75.27682279751218,75.68569477361677,33.65824815659288,709
bol u misicima,9.80803702965295,0.0,28.714083601991646,709
bronhitis,46.707591235658114,46.31823443540075,25.9204529039069,709
caj za grip,0.5945321290636499,0.0,7.723859559788746,678
curenje nosa,29.527470625166437,0.0,38.29063728322497,709
grip,20.518885103293496,17.01246612466125,15.908647144173736,709
kasalj,74.4587644800002,65.02144514188633,38.83642331907402,709
lek za grip,0.796812749003984,0.0,8.89967086569842,502
lek za prehladu,3.7784658603995385,0.0,18.38022876271153,709
malaksalost,42.25002286241635,47.0,29.691452096503465,709
povisena temperatura,15.873824427016267,0.0,28.342666080913702,709
prehlada,45.94816449360535,45.00821917808219,23.052862791156496,709
simptomi gripa,7.439603960396041,0.0,49.919887050640234,606
simptomi prehlade,1.546693787937492,0.0,11.123865280327983,580
sirup za kasalj,65.74275514714783,64.0,59.44933680127334,709
vakcina protiv gripa,2.760225669957687,0.0,13.430467427317366,709
virus gripa,4.420301833568407,0.0,19.593037294840645,709
